"","WT1","WT2","WT3","YD1","YD2","YD3"
"mmu-let-7a",28.7,26.47,27.63,28.79,40,29.33
"mmu-let-7b",29.92,29.15,27.55,28.17,28.07,28.68
"mmu-let-7c",30.92,30.4,27.93,28.1,29.07,28.74
"mmu-let-7d",30.14,29.06,29.9,29.43,30.77,30.56
"mmu-let-7e",28.1,28.14,28.58,29.03,29.45,29.79
"mmu-let-7f",29.72,29.09,28.39,40,31.78,31.06
"mmu-let-7g",28.66,28.17,28.12,31.27,31.7,30.91
"mmu-let-7i",25.86,25.1,27,32.11,33.23,32.66
"mmu-miR-1",23.86,23.04,23.12,40,40,40
"mmu-miR-1-2-as",29.73,29.75,28.87,40,40,40
"mmu-miR-7a",23.88,23.32,22.82,40,40,40
"mmu-miR-7b",28.48,28.22,29.02,40,40,40
"mmu-miR-9",30.17,30.81,29.36,40,32.87,40
"mmu-miR-10a",31.04,33.36,30.37,28.35,28.04,28.7
"mmu-miR-10b",33.32,32.03,32.23,27.12,40,27.66
"mmu-miR-15a",31.89,26.96,31.08,40,31.79,25.05
"mmu-miR-15b",28.06,28.27,27.89,26.3,40,27.36
"mmu-miR-16",32.57,32.6,31.66,26.11,26.91,26.82
"mmu-miR-17",30.1,30.24,30.54,26.79,40,40
"mmu-miR-18a",25.67,28.21,27.13,40,40,40
"mmu-miR-18b",29.07,31.84,28.12,40,40,40
"mmu-miR-19a",31.64,29.98,31.27,40,28.76,28.79
"mmu-miR-19b",28.44,29.06,27.79,28.33,40,40
"mmu-miR-20a",40,40,40,40,40,40
"mmu-miR-20b",26.45,25.68,25.5,27.69,29.26,28.94
"mmu-miR-21",28.3,27.94,29.09,27.06,27.38,27.14
"mmu-miR-22",28.54,27.78,27.61,33.91,34.53,34.11
"mmu-miR-23a",31.79,30.82,31.06,23.83,24.39,24.59
"mmu-miR-23b",25.48,25.05,24.57,24.74,25.23,25.31
"mmu-miR-24",28.32,29.79,30.47,25.03,26.36,25.84
"mmu-miR-25",25.99,26.13,26.5,24.68,25.84,25.51
"mmu-miR-26a",27.84,26.97,27.1,30.23,29.37,30.72
"mmu-miR-26b",25.53,29.23,29.71,34.64,35.21,35.73
"mmu-miR-27a",28.06,28.78,27.7,33.66,35.53,35.35
"mmu-miR-27b",29.39,28.31,29.12,28.86,28.53,28.9
"mmu-miR-28",27.51,29.04,28.48,40,40,40
"mmu-miR-29a",31.17,32.87,29.13,28.23,40,40
"mmu-miR-29b",36.71,33.94,32.58,35.14,34.55,34.92
"mmu-miR-29c",31.12,32.62,30.35,29.04,29.9,30.16
"mmu-miR-30a",34.21,40,34.49,28.04,27.77,28.15
"mmu-miR-30b",27.73,33.03,26.65,29.26,40,29.36
"mmu-miR-30c",33.24,32.62,31.59,28.48,28.28,28.98
"mmu-miR-30d",28.63,28.77,28.48,26.59,26.47,27.15
"mmu-miR-30e",32.09,34.65,29.95,33.11,30.74,30.88
"mmu-miR-31",32.97,32.2,31.85,40,40,40
"mmu-miR-32",34.26,33.98,33.42,40,32.28,37.69
"mmu-miR-33",31.3,31.81,30.72,40,40,35.97
"mmu-miR-34a",33.14,34.06,33.91,40,37.88,40
"mmu-miR-34b-3p",26.71,27.08,27.21,30.08,27.84,29.11
"mmu-miR-34b-5p",29.96,29.08,28.46,40,35.77,39.5
"mmu-miR-34c",27.41,28.15,27.1,38.83,33.2,40.84
"mmu-miR-92a",27.95,27.24,27.21,24.38,26.16,26.01
"mmu-miR-92b",31.56,30.65,26.58,27.6,28.37,28.5
"mmu-miR-93",25.4,25.96,25.78,40,28.15,27.08
"mmu-miR-96",28.07,27.33,27.06,36.9,40,37.06
"mmu-miR-98",27.09,26.35,26.26,40,40,35.8
"mmu-miR-99a",26.61,27.45,27.72,28.72,27.47,27.32
"mmu-miR-99b",29.89,29.4,29.61,29.59,29.23,29.41
"mmu-miR-100",30.8,28.55,29.25,40,40,40
"mmu-miR-101a",40,40,40,40,40,40
"mmu-miR-101b",34.1,34.29,33.81,32.89,36.08,34.23
"mmu-miR-103",33.38,32.56,28.07,40,34.35,36.31
"mmu-miR-105",34.49,33.09,34.17,32.19,31.25,33.1
"mmu-miR-106a",32.94,31.12,31.36,28.17,29.22,28.32
"mmu-miR-106b",33.31,34.53,33.43,30.09,40,40
"mmu-miR-107",33.03,31.14,30.45,33.23,33.01,32.41
"mmu-miR-122",31.15,31.38,29.62,28.44,29.12,29.5
"mmu-miR-124",30.98,33.39,29.19,31.21,30.12,33.55
"mmu-miR-125a-3p",32.19,33.69,31.49,30.15,40,40
"mmu-miR-125a-5p",33.16,40,32.26,40,28.3,28.03
"mmu-miR-125b-3p",31.39,30.57,30.39,32.19,40,34.8
"mmu-miR-125b-5p",40,40,40,40,40,40
"mmu-miR-126-3p",15.58,16.1,16.12,28.96,40,28.78
"mmu-miR-126-5p",27.06,27.5,25.59,40,26.55,26.96
"mmu-miR-127",27.83,27.76,27.43,32.36,32.7,32.57
"mmu-miR-128",29.99,28.55,28.58,29.76,31.03,29.91
"mmu-miR-129-3p",32.8,27.24,31.93,32.06,40,31.63
"mmu-miR-129-5p",25.28,24.29,24.5,30.7,32.2,33.96
"mmu-miR-130a",30.46,28.01,30.04,31.33,31.05,31.19
"mmu-miR-130b",26.97,27.82,27.69,32.34,32.93,32.46
"mmu-miR-132",25.72,26.05,26.06,28.3,31.31,28.89
"mmu-miR-133a",27.38,27.49,28.83,25.26,24.59,23.61
"mmu-miR-133b",28.76,28.4,27.77,26.59,29.63,24.6
"mmu-miR-134",28.58,29.29,29.3,40,40,40
"mmu-miR-135a",27.15,31.41,25.98,28.12,40,27.14
"mmu-miR-135b",34.54,33.19,32.76,40,27.97,40
"mmu-miR-136",30.99,31.77,30.14,40,40,40
"mmu-miR-137",30.91,31.94,30.46,40,40,40
"mmu-miR-138",33.87,33.47,33.76,32.21,40,33.77
"mmu-miR-139-3p",31.19,33.76,29.89,27.58,27.18,29.51
"mmu-miR-139-5p",36.54,40,35.3,28.95,30.79,29.09
"mmu-miR-140",31.62,31.37,32.36,33.43,38.39,30.42
"mmu-miR-141",32.84,32.84,34.62,33.69,31.11,34.14
"mmu-miR-142-3p",30.39,32,29.4,34.83,37.4,35.55
"mmu-miR-142-5p",32.98,35.85,31.22,36.62,34.37,40
"mmu-miR-143",34.28,32.39,35.33,34.51,37.5,34.7
"mmu-miR-144",33.43,29.83,30.01,40,34.39,40
"mmu-miR-145",29.38,28.76,28.61,25.3,25.82,25.45
"mmu-miR-146a",24.96,24.75,24.96,31.03,31.83,32.99
"mmu-miR-146b",27.17,21.65,26.39,32.27,31.59,32.08
"mmu-miR-147",25.88,25.33,25.12,35.39,34.78,35.68
"mmu-miR-148a",20.68,19.8,20.15,40,40,40
"mmu-miR-148b",30.12,29.11,29.21,30.66,40,29.56
"mmu-miR-149",29.46,28.46,29.04,29.77,30.89,30.48
"mmu-miR-150",29.23,28.21,28.29,25.77,40,40
"mmu-miR-151-3p",28.77,28.05,28.11,30.19,31.46,31.1
"mmu-miR-151-5p",28.01,29.05,28.95,33.79,40,32.69
"mmu-miR-152",31.5,26.12,31.43,32.73,29.48,30.47
"mmu-miR-153",40,40,40,34.55,34.8,34.17
"mmu-miR-154",30.89,32.28,29.53,32.45,32.73,32.4
"mmu-miR-155",31.26,34.57,29.49,34,34.92,29.43
"mmu-miR-181a",31.34,32.98,29.33,27.23,27.64,27.57
"mmu-miR-181b",28.92,31.25,20.17,31.63,40,30.74
"mmu-miR-181c",26.23,30.65,24.99,20.68,22.46,20.69
"mmu-miR-181d",34.74,32.86,29.51,33.07,40,32.67
"mmu-miR-182",32.76,32.22,32.04,32.21,31.01,29.45
"mmu-miR-183",33.32,32.27,31.37,34.2,33.09,34.43
"mmu-miR-184",30.64,30.62,30.37,34.16,29.93,35.24
"mmu-miR-185",29.42,29.52,29.09,30.25,40,31.44
"mmu-miR-186",30.5,30.76,31.14,40,33.31,30.35
"mmu-miR-187",30.14,29.55,29.74,29.31,31.45,31.07
"mmu-miR-188-3p",28.58,25.58,28.02,29.06,31.09,29.89
"mmu-miR-188-5p",28.64,30.17,30.21,32.09,32.02,33.57
"mmu-miR-190",29.64,29.1,30.19,40,40,40
"mmu-miR-190b",25.01,24.28,24.95,40,33.71,36.93
"mmu-miR-191",29.82,29.96,29.6,26.17,27.17,26.53
"mmu-miR-192",26.75,23.74,25.97,28.89,40,27.05
"mmu-miR-193",30.31,27.62,29.92,40,34.85,33.89
"mmu-miR-193b",28.15,27.74,27.28,29.71,40,40
"mmu-miR-194",25.73,24.63,24.85,31.87,31.23,33.44
"mmu-miR-195",28.24,27.38,27.24,25.96,40,26.28
"mmu-miR-196a",27.86,26.99,27.29,32.32,37.52,33.83
"mmu-miR-196b",34.06,34.56,34,31.62,40,40
"mmu-miR-197",31.99,32.83,31.33,31.08,31.09,31.5
"mmu-miR-199a-3p",35.61,36.69,34.8,29.68,29.07,29.1
"mmu-miR-199a-5p",40,35.22,35.32,40,30.26,30.5
"mmu-miR-199b",26.29,26.14,25.37,29.37,40,40
"mmu-miR-200a",31.09,31.12,30.17,34.27,30.22,31.98
"mmu-miR-200b",30.6,31.5,29.02,33.45,40,29.86
"mmu-miR-200c",35.31,35.38,33.57,40,29.42,31.41
"mmu-miR-201",33.4,33.86,31.05,37.63,34.01,40
"mmu-miR-202-3p",31.48,33.86,31.63,40,40,33.99
"mmu-miR-202-5p",31.19,31.81,31.67,33.39,36.37,35.46
"mmu-miR-203",31.46,33.93,29.62,40,33.08,31.15
"mmu-miR-204",29.99,29,26.85,35.33,40,31.68
"mmu-miR-205",29.03,28.02,27.75,29.43,28.34,29.41
"mmu-miR-206",20.58,20.27,19.64,34.92,34.25,30.72
"mmu-miR-207",28.2,27.28,27.26,29.95,31.48,30.74
"mmu-miR-208a",28.52,29.08,28.84,34.72,31.32,39.9
"mmu-miR-208b",27.63,26.77,26.54,37.85,32.26,40
"mmu-miR-210",27.87,27.27,27.17,33.96,35.4,36.18
"mmu-miR-211",26.72,25.94,26.27,40,30.01,40
"mmu-miR-212",28.27,29.12,21.03,40,40,40
"mmu-miR-214",29.36,29.22,29.7,40,29.21,29.51
"mmu-miR-215",27.83,26.81,26.89,40,40,40
"mmu-miR-216a",27.97,29.02,29.2,31.83,32.73,21.04
"mmu-miR-216b",32.55,26.72,30.97,40,40,40
"mmu-miR-217",32.83,37.21,32.36,40,30.68,40
"mmu-miR-218",18.37,19.8,19.25,30.18,40,40
"mmu-miR-219",33.29,33.44,32.18,40,40,40
"mmu-miR-220",33.32,30.84,30.9,33.64,35.66,33.66
"mmu-miR-221",31.35,30.8,30.42,40,30.5,30.19
"mmu-miR-222",30.81,32.26,29.78,28.95,40,29.28
"mmu-miR-223",30.73,28.82,29.85,40,26.32,26
"mmu-miR-224",30.5,30.19,29.06,40,40,33.68
"mmu-miR-290-3p",29.74,30,29.36,33.63,34.81,40.2
"mmu-miR-290-5p",29.7,31.8,29.32,39.4,39.15,40
"mmu-miR-291a-3p",32.47,35.33,32.19,40,34.79,34.42
"mmu-miR-291a-5p",29.32,28.24,28.56,30.82,40,31.93
"mmu-miR-291b-3p",23.93,22.79,22.81,40,34.56,25.12
"mmu-miR-291b-5p",33.59,33.6,31.28,27.14,28.34,28.17
"mmu-miR-292-3p",26.08,25.33,25.38,28.84,32.63,33.15
"mmu-miR-292-5p",28.8,27.31,24.92,40,40.59,40
"mmu-miR-293",28.48,28.86,28.59,40,23.19,30.73
"mmu-miR-294",22.54,21.24,21.78,33.75,27.79,32.27
"mmu-miR-295",25.35,24.39,22.79,31.4,40,36.31
"mmu-miR-296-3p",24.02,22.91,21.82,30.15,30.58,31.17
"mmu-miR-296-5p",23,22.37,22.52,40,27.9,30.06
"mmu-miR-297a",28.09,26.39,40,26.53,40,29.08
"mmu-miR-297b-3p",40,40,40,27.01,33.55,33.23
"mmu-miR-297b-5p",31.99,33.28,31.88,31.14,35.49,33.84
"mmu-miR-297c",25.59,30.81,23.98,40,30.28,30.43
"mmu-miR-298",34.5,38.11,34.59,28.46,31.23,31.73
"mmu-miR-299",26.31,31.46,27.42,37.09,35.73,38.52
"mmu-miR-300",29.19,33.47,30.34,28.11,29.34,29.81
"mmu-miR-301a",29.42,29.61,29.32,32.7,32.14,33.62
"mmu-miR-301b",25.92,28.97,24.97,36.4,40,34.51
"mmu-miR-302a",29.25,32.23,28.38,40,35.27,39.3
"mmu-miR-302b",27.51,31.24,24.44,36.03,29.11,40
"mmu-miR-302c",32.89,33.92,31.23,40,31.84,32.07
"mmu-miR-302d",5,40,8.26,35.3,35.86,35.94
"mmu-miR-320",40,35.96,36.41,40,27.62,27.86
"mmu-miR-322",27.61,27.39,26.79,29.97,31.02,31.75
"mmu-miR-323-3p",29.04,28.99,28.26,32.23,33.5,34.05
"mmu-miR-323-5p",31.13,31.2,29.92,29.43,27.91,28.93
"mmu-miR-324-3p",27.16,27.12,30.09,28.93,30.16,27.31
"mmu-miR-324-5p",19.79,28.75,24.09,27.24,27.05,26.74
"mmu-miR-325",29.11,29.61,28.89,34.38,40,40
"mmu-miR-326",28.81,29.1,27.69,29.69,30.94,31.36
"mmu-miR-327",26.9,26.61,26.28,34.74,33.15,37.01
"mmu-miR-328",24.09,24.19,23.63,26.73,28.09,27.16
"mmu-miR-329",29.63,31.08,29.91,31.71,32.38,34.16
"mmu-miR-330",23.89,24.01,23.31,40,40,40
"mmu-miR-331-3p",29.78,28.78,30.88,34.05,33.73,34.29
"mmu-miR-331-5p",30.38,28.42,25.28,28.35,30.02,29.2
"mmu-miR-335-3p",31.34,23.28,29.81,31.22,32.13,32.19
"mmu-miR-335-5p",31.72,30.81,33.08,31.3,40,40
"mmu-miR-337-3p",31.39,31.64,30.34,31.83,33.32,34.37
"mmu-miR-337-5p",29.09,22.53,27.64,33.58,40,35.11
"mmu-miR-338-3p",31.94,31.93,32.6,33.71,30.66,33.54
"mmu-miR-338-5p",30.06,30.2,30.4,25.4,32.55,32.25
"mmu-miR-339-3p",24.55,25.52,27.83,40.99,7.27,4.76
"mmu-miR-339-5p",29.1,28.12,31,27.04,33.61,33.02
"mmu-miR-340-3p",30.21,30.11,31.16,36.14,35.66,34.73
"mmu-miR-340-5p",23.45,26.42,28.67,40,40,40
"mmu-miR-341",40,34.9,40,28.59,29.25,28.12
"mmu-miR-342-3p",26.15,26.04,25.51,26.61,27.6,28.11
"mmu-miR-342-5p",28.57,29.2,30.23,34.39,40,32.76
"mmu-miR-343",27.02,28.22,27.49,33.68,34.95,34.03
