"","KO.1","KO.2","KO.3","KO.4","WT.1","WT.2","WT.3","WT.4"
"mmu-let-7a",37.06,36.79,36.28,34.87,32.85,32.64,33.09,31.01
"mmu-let-7b",30.15,29.77,30.47,29.12,28.15,26.13,28.4,28.01
"mmu-let-7c",30.3,29.57,31,29.24,28.22,27.96,28.43,27.86
"mmu-let-7d",32.56,32.93,32.13,30.72,30.37,29.43,30.45,29.64
"mmu-let-7e",31.7,31.75,32.24,30.5,30.7,29.3,29.91,28.9
"mmu-let-7f",35.79,32.65,37.17,32.17,32.13,27.99,30.53,30.21
"mmu-let-7g",40,40,40,40,40,40,40,40
"mmu-let-7i",32.89,31.63,32.31,31.11,29.47,29.66,29.73,29.57
"mmu-miR-1",40,34.16,32.77,31.79,30.58,26.24,30.71,29.85
"mmu-miR-1-2-as",40,36.78,39.21,35.75,33.93,40,40,34.76
"mmu-miR-7a",40,34.16,32.49,35.32,35.49,32.17,35.22,29.57
"mmu-miR-7b",40,27.99,33.24,32.79,34.94,30.55,31.67,31.26
"mmu-miR-9",40,36.2,37.2,32.41,31.44,40,29.12,38.51
"mmu-miR-10a",29.19,29.41,28.44,28.28,28.1,27.58,28.38,27.35
"mmu-miR-10b",31.06,29.76,27.89,28.6,28.13,27.56,28.17,27.44
"mmu-miR-15a",31.62,30.05,29.39,30.09,28.62,28.01,29.24,29.1
"mmu-miR-15b",25.58,24.86,24.26,24.02,23.82,23.34,24,24.13
"mmu-miR-16",24.38,23.15,22.49,23.26,23.19,22.77,23.15,23.15
"mmu-miR-17",28.19,27.08,27.09,25.85,25.72,25.32,25.88,25.67
"mmu-miR-18a",37.45,33.15,36.16,32.2,32.2,33.14,32.81,32.3
"mmu-miR-18b",37.55,35.89,33.68,32.95,33.41,32.91,31.34,31.17
"mmu-miR-19a",30.07,26.8,26.45,26.64,25.8,25.28,26.03,26.43
"mmu-miR-19b",28.85,26.67,26.58,26.6,26.02,25.38,26.29,26.3
"mmu-miR-20a",29.28,28.07,27.28,26.1,25.84,25.36,25.94,25.62
"mmu-miR-20b",29,27.71,27.13,26.08,26.34,25.82,26.03,25.88
"mmu-miR-21",27.67,27.2,26.69,26.78,25.31,24.67,25.85,25.35
"mmu-miR-22",30.17,28.49,27.22,27.76,26.76,26.35,27.35,27.2
"mmu-miR-23a",24.15,23.13,22.21,23.04,22.27,22.1,22.47,22.74
"mmu-miR-23b",24.82,23.23,22.36,23.11,22.78,22.33,22.64,22.62
"mmu-miR-24",27.33,27.06,26.22,26.19,25.09,25.2,25.77,25.72
"mmu-miR-25",25.13,24.64,24.09,24,23.65,23.22,23.61,23.45
"mmu-miR-26a",30.26,31.01,29.65,29.23,28.01,27.44,28.53,27.93
"mmu-miR-26b",40,35.13,32.89,31.64,33.69,31.83,34.13,29.96
"mmu-miR-27a",29.63,27.41,26.67,27.13,26.27,25.84,26.67,26.21
"mmu-miR-27b",29.54,27.28,26.38,26.77,25.45,25.25,26.04,25.71
"mmu-miR-28",38.46,32.4,32.2,31.09,30.29,29.77,31.18,29.95
"mmu-miR-29a",31.3,31.29,30.46,30.49,29.09,28.85,29.66,29.19
"mmu-miR-29b",36.41,32.84,35.83,37.76,34.66,30.83,33.34,31.45
"mmu-miR-29c",32.79,31.34,31.55,31.05,29.56,29.23,29.89,29.56
"mmu-miR-30a",27.6,26.74,26.33,25.97,25.81,25.62,26.05,26.42
