"","SQ1","SQ2","SQ3","SQ4","EPI1","EPI2","EPI3","EPI4","BAT1","BAT2","BAT3","BAT4"
"mmu-miR-669h-5p",32.15,31.32,29.5,29.26,23.45,30.38,26.91,30.05,30,29.79,21.4,28.3
"mmu-miR-669i",29.67,30.72,29.73,29.14,32.03,31.17,28.54,31.45,29.12,28.56,30.32,30.5
"mmu-miR-669j",32.39,33.32,31.48,28.4,30.92,31.31,31.01,31.12,30.65,23.6,28.37,29.37
"mmu-miR-669k",31.56,30.27,30.14,29.51,31.52,32.34,34.77,30.38,27.8,28.22,31.13,30.72
"mmu-miR-669l",30.17,25.19,30.42,29.76,30.6,30.16,32.09,30.85,28.54,28.06,28.76,28.75
"mmu-miR-669m",35.25,28.38,28.67,26.06,33.28,30.72,29.73,30,24.1,25.69,33.24,32.11
"mmu-miR-669n",23.54,24.34,23.71,24.47,19.99,25.24,24.07,24.97,22.65,22.39,22.53,23.35
"mmu-miR-669o",29.18,28.06,28.32,28.75,30.19,30.48,31.1,29.81,27.83,27.37,27.27,28.63
"mmu-miR-670",31.11,33.22,31.52,38.43,31.3,24.94,29.34,31.56,31.54,28.66,30.23,35.43
"mmu-miR-671-3p",26.96,26.44,26.14,27.12,29.41,27.35,29.91,28.67,24.48,24.79,28.09,28.45
"mmu-miR-671-5p",28.07,28.64,27.16,28.23,28.08,28.18,28.13,27,27.14,27.26,26.49,28.87
"mmu-miR-672",29.54,26.49,28.28,30.11,30.61,30.13,31.57,23.19,29.09,28.26,30.32,26.37
"mmu-miR-673-3p",30.19,26.55,28.72,30.05,32.85,28.9,28.77,28.47,28.6,28.07,26.32,29.74
"mmu-miR-673-5p",26.46,26.71,25.77,25.05,27.39,27.55,27.08,27.01,24.14,24.56,24.73,24.92
"mmu-miR-674",30.78,30.23,30.85,30.8,29.71,29.84,27.21,27.32,28.28,27.94,27.24,28.45
"mmu-miR-675-3p",30.44,29.22,30.14,29.88,31.83,30.89,32.04,40,27.37,28.64,30.9,31.23
"mmu-miR-675-5p",29.09,31.31,29.13,31.58,29.91,30.48,31.27,30.9,28.85,28.6,29.09,28.81
"mmu-miR-676",28.41,26.85,28.46,28.44,28.51,28.48,30.7,29.27,25.53,25.6,26.2,26.33
"mmu-miR-677",28.64,28.33,27.3,27.78,29.41,28.89,28.8,29.44,24.81,24.82,26.16,26.75
