"","SerWT1","SerWT2","SerWT3","SerWT4","SerKO1","SerKO2","SerKO3","SerKO4","ExoWT1","ExoWT2","ExoWT3","ExoWT4","ExoKO1","ExoKO2","ExoKO3","ExoKO4"
"mmu-let-7a",24.64,25.58,24.3,25.6,26.53,26.13,27.27,23.58,31.92,32.37,30.29,28.03,40,40,39.79,39.28
"mmu-let-7b",40,40,22.61,23.83,25.21,24.57,24.04,24.78,25.41,27.68,27.29,25.33,33.15,34.9,32.77,33.47
"mmu-let-7c",23.18,23.28,22.57,23.99,25.12,24.63,25.31,24.81,27.24,27.71,27.14,25.75,33.3,37.44,32.57,34
"mmu-let-7d",25.86,27.27,26.31,27.34,28.08,28.51,31.88,28.34,28.71,29.73,28.92,27.75,35.56,40,35.93,35.13
"mmu-let-7e",40,28.07,25.07,22.43,27.69,27.48,28.8,27.91,28.58,29.19,28.18,27.22,34.7,37.3,34.75,35.24
"mmu-let-7f",26.81,27.63,26.6,27.41,29.18,28.76,30.6,29.14,27.27,29.81,29.49,27.48,38.79,40,35.65,40
"mmu-let-7g",23.72,24.11,23.37,25.05,26.92,26.56,27.18,26.61,39.28,39.28,39.28,39.28,40,40,40,40
"mmu-let-7i",25.39,25.59,24.3,26.21,27.81,26.9,27.73,25.31,28.94,29.01,28.85,27.64,35.89,38.37,34.63,35.31
"mmu-miR-1",22.4,21.78,22.06,23.56,24.69,25.62,26.09,25.2,25.52,29.99,29.13,27.93,40,40,37.16,35.77
"mmu-miR-1-2-as",36.95,40,34.12,37.16,29.63,40,40,40,39.28,39.28,34.04,39.12,40,40,39.78,40
"mmu-miR-7a",40,40,40,40,40,40,40,40,31.45,34.5,28.85,31.69,40,38.48,37.16,35.49
"mmu-miR-7b",29.62,29.96,29.45,26.18,31.33,26.27,31.84,32.84,29.83,30.95,30.54,30.3,40,36,30.99,36.24
"mmu-miR-9",23.85,24.28,23.37,25.43,26.06,25.89,26.81,26.35,39.28,28.4,37.79,33.47,40,35.03,39.2,40
"mmu-miR-10a",21.43,21.31,19.68,21.47,23.21,23.22,23.53,40,26.86,27.66,26.63,26.05,32.19,36.99,32.41,31.44
"mmu-miR-10b",25.15,25.53,24.93,26.9,28.09,30.03,40,40,26.84,27.45,26.72,26.6,34.06,36.14,32.76,30.89
"mmu-miR-15a",22.2,21.46,20.58,21.96,23.04,23.05,23.03,22.94,27.29,28.52,28.38,26.4,34.62,38.19,33.05,32.39
"mmu-miR-15b",22.46,21.65,21.09,21.74,23.09,23.16,23.38,23.21,22.62,23.28,23.41,22.46,28.58,32.87,27.86,27.26
"mmu-miR-16",23.6,23.16,22.07,24.06,25.21,25.42,25.56,25.28,22.05,22.43,22.43,21.36,27.38,28.79,26.15,25.49
"mmu-miR-17",21.67,21.82,21.99,23.1,23.89,23.21,23.91,23.64,24.6,25.16,24.95,23.88,31.19,35.28,30.08,30.09
"mmu-miR-18a",25.95,25.77,24.28,26.09,27.12,27.03,27.75,27.04,32.42,32.09,31.58,30.67,40,38.58,36.15,39.16
"mmu-miR-18b",24.48,24.48,23.62,25.41,26.28,26.23,26.72,26.36,32.19,30.62,30.45,30.43,40,40,38.89,36.68
"mmu-miR-19a",23.63,23.22,22.05,23.59,25.27,25.45,25.78,25.2,24.56,25.31,25.71,24.82,33.07,36.81,29.8,29.45
"mmu-miR-19b",24.42,23.56,22.83,24.52,26.02,26.47,26.93,26.34,24.66,25.57,25.58,24.88,31.85,36.59,29.67,29.58
"mmu-miR-20a",29.92,29.68,29.37,30.38,31.47,32.47,32.64,33.25,24.64,25.22,24.9,23.7,32.28,34.71,31.07,30.28
"mmu-miR-20b",30.43,28.65,29.36,29.42,32.08,30.85,31.65,31.27,25.1,25.31,25.16,23.95,32,36.65,30.71,30.13
"mmu-miR-21",33.39,32.17,32.39,30.14,34.43,33.45,33.04,33.52,23.95,25.13,24.63,22.78,30.67,33.39,30.2,29.69
"mmu-miR-22",32.99,32.12,31.04,30.02,36.78,29.79,33.98,35.84,25.63,26.63,26.48,25.26,33.17,34.57,31.49,30.22
"mmu-miR-23a",22.1,22.16,21.88,23.34,24.15,23.57,24.35,23.81,21.38,21.75,22.02,21.32,27.15,30.04,26.13,25.21
"mmu-miR-23b",26.17,24.43,25.11,25.28,26.39,26.63,27.31,26.85,21.61,21.92,21.9,21.44,27.82,31.21,26.23,25.36
"mmu-miR-24",23.01,23.33,22.7,24.6,25.18,24.89,26.16,25.29,24.48,25.05,25,23.72,30.33,35.09,30.06,29.22
"mmu-miR-25",34.24,31.51,26.47,33.74,35.45,35.57,40,36.96,22.5,22.89,22.73,21.79,28.13,29.78,27.64,27.09
"mmu-miR-26a",31.69,32.2,28.94,32.46,26.4,26.52,35.99,32.13,26.72,27.81,27.21,26.65,33.26,36.5,34.01,32.65
"mmu-miR-26b",25.59,24.29,24.5,25.83,26.71,27.03,27.47,27.1,31.11,33.41,29.24,30.51,40,40,38.13,35.89
"mmu-miR-27a",28.56,27.53,27.45,28.62,28.9,28.82,26.78,27.17,25.12,25.95,25.49,24.61,32.63,34.91,30.41,29.67
"mmu-miR-27b",26.07,24.55,25.06,26.1,26.67,27.28,27.25,27.18,24.53,25.32,24.99,23.76,32.54,34.3,30.28,29.38
"mmu-miR-28",25.54,24.97,24.29,26.17,26.84,27.5,28.63,27.58,29.05,30.46,29.23,27.81,40,40,35.4,35.2
