"","GFP.1","GFP.2","GFP.3","CRE.1","CRE.2","CRE.3"
"mmu-let-7a",40,40,40,40,40,40
"mmu-let-7b",22.01,22.71,25.62,31.9,33.66,40
"mmu-let-7c",26.75,28.09,31.21,31.26,32.44,32.23
"mmu-let-7d",25.13,26.87,29.94,33.96,35.29,36.31
"mmu-let-7e",29.6,31.06,33.27,33.56,34.83,33.78
"mmu-let-7f",27.7,29.82,32.53,34.38,36.37,40
"mmu-let-7g",27.12,29.07,31.74,33.26,34.49,37.57
"mmu-let-7i",21.91,22.83,25.69,31.65,33.04,40
"mmu-miR-1",38.14,34.1,33.77,40,40,40
"mmu-miR-100",25.51,28.03,29.72,29.85,31.05,29.31
"mmu-miR-101a",29.61,30.31,33.13,37.47,39.03,40
"mmu-miR-101b",27.07,27.53,29.76,35.57,36.86,40
"mmu-miR-103",27.59,29.44,32.28,35.1,36.27,36.46
"mmu-miR-105",23.93,24.07,25.89,30.22,31.38,40
"mmu-miR-106a",26.1,27,28.93,32.98,34.26,40
"mmu-miR-106b",24.45,25.88,31.24,35.6,36.82,40
"mmu-miR-107",27.07,28.89,31.8,40,40,36.61
"mmu-miR-10a",26.58,28.34,25.24,29.26,30.52,29.77
"mmu-miR-10b",26.47,27.43,25.31,29.98,31.15,29.3
"mmu-miR-122",24.55,26.72,29.32,32.7,33.95,40
"mmu-miR-124",27.83,26.41,28.72,31.51,32.7,31.9
"mmu-miR-125a-3p",23.96,25.43,27.75,32.36,33.73,40
"mmu-miR-125a-5p",24.01,25.51,28.42,29.08,30.29,30.74
"mmu-miR-125b-3p",29.23,30.04,29.81,31.61,32.88,40
"mmu-miR-125b-5p",23.65,25.87,28.32,28.38,29.64,27.78
"mmu-miR-126-3p",25.54,24.55,31.1,33.22,34.58,36.53
"mmu-miR-126-5p",26.57,28.49,31.3,32.64,33.9,40
"mmu-miR-127",25.7,26.37,28.38,32.63,33.96,39.31
"mmu-miR-128",29.3,30.1,30.85,40.04,40,40
"mmu-miR-129-3p",24.4,25.79,29.77,32.36,33.69,36.48
"mmu-miR-129-5p",25.81,26.71,28.3,30.1,31.22,31.17
"mmu-miR-1-2-as",30.79,32.8,32.89,40,40,40
"mmu-miR-130a",27.01,28.17,29.63,30.9,32.23,29.62
"mmu-miR-130b",25.66,27.07,29.83,35.59,36.79,40
"mmu-miR-132",18.76,19.08,21.69,26.3,27.47,29.43
"mmu-miR-133a",29.92,29.4,31.33,33.25,34.82,40
"mmu-miR-133b",29.78,31.59,34.59,36.89,38.77,40
"mmu-miR-134",27.4,27.21,30.09,31.34,32.65,40
"mmu-miR-135a",18.9,19.22,22.61,28.46,30.18,40
"mmu-miR-135b",19.03,19.87,25.19,34.59,37.03,11.38
"mmu-miR-136",25.13,26.12,27.65,36.83,38.07,36.28
"mmu-miR-137",31.26,27.7,28.57,33.1,34.78,40
"mmu-miR-138",25.46,25.82,28.83,32.69,34.02,40
"mmu-miR-139-3p",26.32,27.09,28.39,31.59,32.78,37.1
"mmu-miR-139-5p",26.02,25.39,28.74,32.41,33.7,40
"mmu-miR-140",25.89,26.19,29.92,36.46,37.77,40
"mmu-miR-141",26.46,27.43,30.01,35.1,36.3,40
"mmu-miR-142-3p",29.42,30.16,32.25,36.46,38.02,40
"mmu-miR-142-5p",29.42,31.06,33.9,40,40,38.41
"mmu-miR-143",26.92,28,29.65,31.83,33.77,29.85
"mmu-miR-144",28.17,33.99,36.33,40,40,40
"mmu-miR-145",26.3,27.61,26.39,26.71,27.93,28.76
"mmu-miR-146a",26.8,27.18,31.31,35.69,36.95,40
"mmu-miR-146b",27.08,27.38,29.14,34.02,35.18,32.91
"mmu-miR-147",27.09,29.14,31.3,35.41,36.61,40
"mmu-miR-148a",26.12,25.67,30.06,31.98,33.2,31.75
"mmu-miR-148b",25.63,26.45,30.72,33.02,34.17,38.03
"mmu-miR-149",27.02,27.42,27.93,30.95,32.61,32.55
"mmu-miR-150",25.38,28.24,30.74,34.19,35.49,40
"mmu-miR-151-3p",27.46,28.46,30.12,31.28,32.61,36.65
"mmu-miR-151-5p",40,40,40,40,40,40
"mmu-miR-152",24.25,25.97,27.1,28.35,29.56,34.85
"mmu-miR-153",28.64,29.61,34.61,40,40,40
"mmu-miR-154",24.33,23.67,27.09,30.83,32.19,31.97
"mmu-miR-155",26.27,25.94,28.89,34.55,36.4,40
"mmu-miR-15a",26.32,25.69,27.51,34.2,35.41,33.99
"mmu-miR-15b",26.93,27.32,30.09,30.41,31.65,28.87
"mmu-miR-16",25.81,26.64,26.67,27.05,28.22,26.73
"mmu-miR-17",31.99,35.4,39.31,38.12,39.7,29.49
"mmu-miR-181a",18.33,18.4,21.9,27.51,28.77,31.64
"mmu-miR-181b",22.75,23,26.36,33.63,34.9,40
"mmu-miR-181c",10.33,11.17,15.63,21.63,22.9,35.88
"mmu-miR-181d",23.05,24.38,28.04,33.88,35.1,40
"mmu-miR-182",26.49,26.95,30.07,34.66,36.09,38.79
"mmu-miR-183",25.07,28.21,31.26,40,40,40
"mmu-miR-184",25.12,27.28,30.56,34.62,35.78,40
"mmu-miR-185",26.18,27.53,30.75,34.19,35.38,38.43
"mmu-miR-186",25.06,25.62,27.83,32.41,33.58,34.06
"mmu-miR-187",23.87,24.44,26.85,29.42,30.74,33.26
"mmu-miR-188-3p",21.16,23.39,28.47,32.2,33.42,33.8
"mmu-miR-188-5p",20.25,24.12,26.76,31.52,32.74,37.98
"mmu-miR-18a",31.31,32.1,34.23,40,40,33.76
"mmu-miR-18b",40,40,40,40,40,36.1
"mmu-miR-190",31.16,31.02,35.05,40,40,40
"mmu-miR-190b",29.49,29.89,31.42,40,40,40
"mmu-miR-191",23.23,23.51,28.92,31.85,33.1,40
"mmu-miR-192",23.92,25,29.04,32.97,34.21,40
"mmu-miR-193",28.53,29.52,31.28,33.46,34.73,40
"mmu-miR-193b",26.25,27.07,30.12,32.33,33.61,33.79
"mmu-miR-194",26.38,28.33,30.21,36.97,38.19,36.37
"mmu-miR-195",24.89,25.89,26.25,27.18,28.36,29.89
"mmu-miR-196a",25.99,26.67,28.84,31.37,32.56,40
"mmu-miR-196b",26.04,26.43,29.14,32.95,34.19,34.18
"mmu-miR-197",26,26.47,28.24,31.2,32.46,40
"mmu-miR-199a-3p",26.42,28.6,29.78,30.25,31.46,40
"mmu-miR-199a-5p",24.75,25.8,29.51,37.07,38.31,39.5
"mmu-miR-199b",26.24,28.11,29.39,30.67,31.96,40
"mmu-miR-19a",28.07,28.52,30.62,30.38,31.68,29.22
"mmu-miR-19b",40,40,40,40,40,28.69
"mmu-miR-200a",27.99,28.56,30.78,40,40,40
"mmu-miR-200b",25.11,25.3,30.03,34.68,35.85,40
"mmu-miR-200c",25.05,26.03,27.19,31.96,33.17,39.07
