"","control1","control2","control3","control4","HIV1","HIV2","HIV3","HIV4","PT1","PT2","PT3","PT4"
"hsa-let-7a",40,31.78,40,29.32,32.41,32.13,29.93,30.83,33.24,32.76,34.21,32.62
"hsa-let-7b",31.96,31.32,29.75,28.95,33.29,37.5,30.32,28.83,30.35,25.73,31.06,31.22
"hsa-let-7c",30.39,31.33,30.3,29.19,30.8,33.12,29.87,30.13,32.32,31.31,30.89,34.21
"hsa-let-7d",31.07,31.6,31.88,30.17,32.67,33.22,31.47,31.41,34.32,32.53,32.76,33.81
"hsa-let-7e",40,32.58,31.67,30.96,32.97,33.52,25.61,31.15,33.19,32.55,33.52,33.54
"hsa-let-7f",32.01,32.33,32.09,30.94,33.76,40,32.06,31.43,35.44,32.37,33.17,33.32
"hsa-let-7g",39.5,32.48,32.57,40,40,40,40,40,34.78,40.69,40,40
"hsa-let-7i",34.98,33.41,29.29,31.89,33,32.19,34.82,33.22,34.08,34.21,36.96,34.04
"hsa-miR-1",40,40,40,28.93,40,33.78,34.7,32.34,29.46,40,40,35.21
"hsa-miR-7",32.64,33.68,27.72,33.83,39.63,37.19,33.79,34.83,36.12,29.02,34.63,40
"hsa-miR-9",34.39,34.86,34.36,32.05,40,40,40.9,40,40,32.73,40,35.72
"hsa-miR-10a",34.5,33.05,33.21,32.85,33.76,40,33.4,32.4,32.58,35.28,32.97,32.63
"hsa-miR-10b",30.54,30.14,29.89,31.17,32.75,34.28,33.65,32.36,33.08,34.69,32.49,32
"hsa-miR-15a",35.04,35.18,32.92,33.28,33.36,33.06,33.21,30.81,32.28,32.35,31.31,34.5
"hsa-miR-15b",30.7,30.93,24.99,29.43,30.13,30.86,30.26,29.78,29.94,29.17,30.18,31.45
"hsa-miR-16",30.03,30.31,27.43,25.3,25.58,26.36,26.04,24.54,24.6,24.48,25.08,27.32
"hsa-miR-17",40,34.12,31.13,29.6,33.1,31.49,30.95,30.18,29.38,28.92,28.74,30.22
"hsa-miR-18a",40,40,37.55,38.8,36.8,40,34.8,35.53,40,34.65,40,36.78
"hsa-miR-18b",35.16,35.02,38.06,35,40,40,40,36.77,35.2,34.94,34.91,40
"hsa-miR-19a",33.18,33.05,32.05,28.03,29.8,28.05,28.54,27.45,26.41,26.84,26.54,29.63
"hsa-miR-19b",33.06,32.76,31.41,28.39,30.33,28.61,28.8,28.13,27.16,27.1,27.43,26.87
"hsa-miR-20a",38.64,32.21,31.49,29.66,31.29,32.07,30.12,29.78,29.26,29.41,28.62,31.01
"hsa-miR-20b",32.24,31.97,30.91,30.36,39.48,32.06,31.09,29.09,29.65,29.71,29.38,30.77
"hsa-miR-21",35.18,32.93,34.84,29.73,31.6,30.11,31.08,29.44,29.03,29.77,29.16,30.5
"hsa-miR-22",32.7,33.84,32.48,31.15,33.49,33.2,32.82,31.18,31.42,32.17,31.94,33.02
"hsa-miR-23a",29.16,30.08,29.54,27.2,28.41,29.33,28.3,26.18,28.63,27.86,28.25,29.16
"hsa-miR-23b",28.91,29.44,28.88,27.57,28.98,29.54,28.45,28.35,29.2,28.32,28.81,29.32
"hsa-miR-24",32.86,32.99,32.41,31,32.42,32.03,31.58,30.38,32.11,32.48,31.95,32.65
"hsa-miR-25",29.3,31.29,28.01,27.84,30.05,30.22,27.83,26.68,28.54,27.96,28.88,30.3
"hsa-miR-26a",33.26,32.75,33.89,30.69,32.76,32.16,31.36,31.46,34.07,33.06,33.18,33.26
"hsa-miR-26b",33.16,33.09,32.5,30.67,33.67,32.63,32.71,32.47,32.87,31.34,33.17,32.16
"hsa-miR-27a",34.63,33.04,34.37,30.56,33.72,31.67,32.12,40,31.57,31.87,31.28,32.88
"hsa-miR-27b",35.14,32.46,32.58,31.56,31.62,32.29,32.08,32.91,32.81,34.56,31.18,33.44
"hsa-miR-28-3p",33.68,32.4,31.49,31.21,35.26,34.1,33.23,40,34.84,32.59,32.74,34.03
"hsa-miR-28-5p",30.37,36.35,39.95,33.13,35.1,34.28,36.05,40,40.18,40,38.38,40
"hsa-miR-29a",40,40,40,34.24,34.39,34.06,34.3,40.32,40,34.85,32.83,40
"hsa-miR-29b",40,40,40,38.4,40,35.05,40,38.69,40,40,40,40
"hsa-miR-29c",30.12,29.73,33.14,34.27,40,40,40,33.89,32.61,40,40,40
"hsa-miR-30a",32.29,33.14,32.99,29.25,30.79,30.21,30.65,29.55,29.18,29.04,29.36,31.03
"hsa-miR-30b",30.33,27.56,31.42,30.62,32.09,33.45,32.53,31.12,32.88,32.1,34.27,33.25
"hsa-miR-30c",31.55,32.42,31.14,29.94,31.68,31.65,31,32.82,32.12,32.4,31.36,33.23
"hsa-miR-30d",32.03,31.06,30.57,28.55,30.54,29.51,29.85,29.32,28.79,28.18,28.71,30.03
"hsa-miR-30e",31.93,32.81,31.43,29.87,31.48,28.42,31.4,30.94,29.48,29.96,30.58,32.06
"hsa-miR-31",33.6,34.02,33.46,31.88,33.76,39.41,35.87,34.74,40,33.29,40.36,40
"hsa-miR-32",33.4,39.56,40,40.52,38.16,34.89,37.94,35.54,34.42,35.2,37.89,39.46
"hsa-miR-33a",36.64,40,33.68,37.68,37.04,37.67,37.04,34.83,40,38.26,40,39.08
"hsa-miR-33b",33.31,35.1,36.19,36.07,40,37.62,40,36.72,35.58,40.02,36.64,35.28
"hsa-miR-34a",34.86,33.35,34.04,33.4,34.25,36,34.84,30.59,34.65,35.73,35.09,31.54
"hsa-miR-34b",32.78,32.16,31.09,26.26,33.15,34.3,32.18,32.3,35.17,37.8,34.81,32.68
"hsa-miR-34c-3p",31.13,30.2,29.66,30.17,34.05,33.19,31.65,31.98,33.58,32.56,32.69,39.65
"hsa-miR-34c-5p",30.11,30.77,30.48,33.98,40,40,40,34.58,35.12,40,37.64,40
"hsa-miR-92a",29.07,29.34,26.22,26.28,29.24,30.48,27.71,27.1,28.61,27.91,28.16,28.88
"hsa-miR-92b",28.25,27.06,26.44,26.49,29.07,30.23,28.65,27.86,30,29.46,29.82,29.91
"hsa-miR-93",34.44,32.83,32.43,30.29,32.25,32.58,30.56,31.14,30.62,31.09,30.04,32.08
"hsa-miR-95",40,37.29,40,33.33,34.39,40,37.14,34.94,34.67,34.65,40,40
"hsa-miR-96",35.48,32.1,34.68,40,37.85,37.62,40,40,32.18,33.03,37.44,40
"hsa-miR-98",40,40,40,26.64,34.82,34.95,33.17,39.37,27.53,40,25.17,40
"hsa-miR-99a",32.22,33.92,32.24,33.51,40,34.35,33.55,33.3,33.74,39.38,33.1,32.43
"hsa-miR-99b",29.89,32.33,33.75,31.66,33.74,32.58,33.23,31.89,33.4,33,32.64,32.61
"hsa-miR-100",32.85,32.07,32.37,32.5,34.41,40,40,35.43,34.31,35.33,35.17,33.66
"hsa-miR-101",40,40,40,31.81,32.08,31.23,34.09,31.34,30.07,31.1,30.65,34.06
"hsa-miR-103",34.53,40,33.68,31.26,31.57,34.42,31.91,29.07,32.49,33.01,33.15,34.2
"hsa-miR-103-as",37.09,34.1,32.03,27.96,31.97,40,36.63,34.01,35.38,34.2,40,34.75
"hsa-miR-105",34.76,34.27,35.39,32.49,33.52,36.21,34.25,34.92,38.32,24.26,39.29,38.62
"hsa-miR-106a",34.15,33.04,32.07,30.27,32.8,31.82,31.33,31.01,29.43,30.14,29.43,31.19
"hsa-miR-106b",31,31.16,30.43,32.45,34.94,36.66,35.54,34.23,33.81,35.25,35.11,35.6
"hsa-miR-107",33.47,32.88,33.19,31.37,31.98,34.02,35.42,33.42,33.6,33.29,35.25,37.01
"hsa-miR-122",31.13,30.34,27.12,29.87,32.02,32.73,30.57,31.05,29.54,31.75,28.38,28.71
"hsa-miR-124",32.75,31.85,33.29,24.53,33.57,34.63,33.49,33.77,36.42,34.21,36.22,30.89
"hsa-miR-125a-3p",32.53,30.85,31.1,30.43,33.14,34.85,32.81,32.35,34.37,33.26,34.06,34.23
"hsa-miR-125a-5p",32.36,32.82,33.49,31.45,33.1,33.56,32.4,32.54,34.24,33.61,32.37,32.22
"hsa-miR-125b",40,40,40,31.71,34.41,40,32.69,31.44,34.7,38.15,32.03,32.68
"hsa-miR-126",34.64,35.42,40,29.5,30.79,29.47,30.75,30.91,29.48,25.03,29.79,32.03
"hsa-miR-127-3p",32.58,33.12,32.13,31.81,35.86,33.25,34.13,32.23,34.48,36.51,31.8,34.98
"hsa-miR-127-5p",35.04,34.14,33.16,34.5,34.24,38.03,34.5,35.12,24.51,34.28,36.07,36.08
"hsa-miR-128",34.16,39.56,26.82,33.19,40,39.89,34.04,37.42,38.17,40,40,40
"hsa-miR-129-3p",36.49,30.69,33.42,32.72,35.3,33.94,40,40,40,40,34.8,33.29
"hsa-miR-129-5p",34.67,30.48,30.34,30.27,31.61,18.25,29.26,31.72,31.02,26.83,33.87,28.16
"hsa-miR-130a",35.1,34.85,36.66,33.67,33.93,34.49,34.49,32.96,33.46,34.15,35.54,29.55
"hsa-miR-130b",33.64,32.68,31.77,33.55,37.18,34.83,39.51,34.94,33.88,34.25,34.95,36.38
"hsa-miR-132",29.65,22.07,30.64,29.05,30.83,31.08,29.8,30.33,30.93,30.64,30.48,29.96
"hsa-miR-133a",36.81,33.91,32.77,27.46,35.99,33.75,33.36,31.22,39.04,40,35.65,35.27
"hsa-miR-133b",34.65,35.59,32.3,28.45,40,39.29,38.14,32.86,34.62,40,40,38.94
"hsa-miR-134",32.86,34.41,33.71,33.31,40.07,36.42,33.91,23.9,40,37.05,34.72,35.54
"hsa-miR-135a",30.27,25.82,28.55,29.66,31.01,30.79,22.22,30.21,30.79,26.09,30.56,30
"hsa-miR-135b",28.93,29.73,29.7,28.58,30.09,28.14,31.04,30.29,31.96,32.14,31.06,30.86
"hsa-miR-136",35.7,37.73,40,40.15,34.44,34.42,40,40.13,40,40,37.2,40
"hsa-miR-137",38.1,40,40,40,40,40,40,35.01,40,40,40,39.8
"hsa-miR-138",34.31,33.64,33.24,30.33,33.49,34.92,34.09,33.27,30.31,36.26,37.98,33.92
"hsa-miR-139-3p",32.73,33.08,31.09,33.95,30.24,35.33,31,32.26,35.2,32.72,35.39,35.28
"hsa-miR-139-5p",32.55,32.29,40,30.59,32.08,33.51,33.08,31.57,33.59,33.21,34.7,33.24
"hsa-miR-140-3p",33.5,33.21,31.76,31.37,32.02,31.12,32.28,30.97,29.3,29.98,29.77,31.51
"hsa-miR-140-5p",35.32,36.83,34.33,34.75,40,39.46,38.71,40.91,34.7,40.48,37.95,37.99
"hsa-miR-141",40,34.67,34.88,37.1,39.55,40,40,40,40.7,40,38.08,40
"hsa-miR-142-3p",34.65,34.54,40,33.61,34.55,31.82,31.27,34.63,34.87,40,38.54,39.36
"hsa-miR-142-5p",40,40.77,40,38.11,40,33.19,40,36.59,40.5,37.17,33.47,40
"hsa-miR-143",32.55,32.2,31.56,34.14,38.25,35.04,32.87,34.03,33.64,34.16,40,38.3
"hsa-miR-144",37.91,32.03,31.57,35.56,40,36,40,34.72,37.98,40,34.66,40
"hsa-miR-145",33.72,32.57,40,31.32,33.44,37.27,31.34,31.99,32.22,31.88,32.48,33.11
"hsa-miR-146a",34.6,40,32.39,31.63,34.86,34.79,32.29,40,34.76,34.99,34.58,40
"hsa-miR-146b-3p",35.71,40,32.42,32.74,33.92,40.6,35.46,34.37,40,36.33,34.75,35.94
"hsa-miR-146b-5p",37.08,34.06,40,32.71,40,35.13,40,35.16,35.34,35.19,40.31,40
"hsa-miR-147",33.03,31.49,31.42,30.35,33.83,35.15,34.36,33.04,34.22,34.79,33.84,34.53
"hsa-miR-147b",37.66,33.81,34.69,33.81,35.88,38.57,38.09,39.49,38.3,40,40,35.33
"hsa-miR-148a",35.81,33.33,35.75,31.51,32.56,31.98,32.89,40,31.47,32.2,32.4,33.8
"hsa-miR-148b",37.12,33.01,32.94,31.22,35.83,33.48,34.15,34.36,30.25,31.83,32.54,32.33
"hsa-miR-149",29.55,29.04,29.83,29.98,33.13,33.78,31.8,30.67,33.88,33.11,31.78,31.8
"hsa-miR-150",31.88,31.36,31.02,28.62,31.06,32.33,30.5,30.35,31.01,30.32,29.35,29.5
"hsa-miR-151-3p",32.78,31.03,31.13,31.54,32.02,34.18,31.69,33.58,32.63,32.27,30.85,39.63
"hsa-miR-151-5p",32.7,32.36,31.35,30.93,35.06,34.47,33.33,30.98,33.03,33.15,34.32,33.64
"hsa-miR-152",34.21,35.17,34.88,32.63,32.9,34.52,33.57,34.06,31.35,33.72,40,40
"hsa-miR-153",35.52,36.27,37.01,37.12,35.5,39.76,37.34,36.96,40,38.92,39.41,39.38
"hsa-miR-154",35.17,33.57,32.76,35.02,40,40,33.82,35.19,40,34.92,29.63,33.32
"hsa-miR-155",37.38,39.77,39.2,40,36.04,40,40,34.33,40,39.45,34.14,38.06
"hsa-miR-181a",28.62,28.9,40,27.46,29.56,30.01,30.41,29.59,30.94,31.19,30.39,40
"hsa-miR-181b",30.3,27.72,28.45,31.54,33.07,32.48,33.25,32.45,32.31,32.55,34.81,32.1
"hsa-miR-181c",29.6,23.76,26.48,26,25.08,26.83,22.21,26.07,27.98,26.56,27.21,25.84
"hsa-miR-181d",29.9,29.86,28.6,30.97,33.4,32.82,32.63,32.63,35.07,22.37,33.77,33.08
"hsa-miR-182",35.84,39.11,34.41,39.06,36.07,38.89,40,34.77,34.19,40,40,30.46
"hsa-miR-183",35,33.03,28.08,36.42,36.19,36.4,37.05,39.86,35.93,36.12,40,35.97
"hsa-miR-184",32.47,36.74,32.03,40,40,32.21,40.13,40,40,33.44,40,40
"hsa-miR-185",35.15,32.25,31.69,32.57,32.12,33.11,32.83,35.9,31.95,31.3,32.68,34.45
"hsa-miR-186",34.84,32.84,31.41,33.86,33.62,40,33.47,35.79,31.48,32.36,33,39.09
"hsa-miR-187",31.2,30.79,30.6,29.79,32.1,32.21,33.13,30.61,32.08,30.64,31.85,31.87
"hsa-miR-188-3p",34.22,32.38,32.2,32,35.46,36.12,33.82,33.64,35.05,35.14,34.34,36.46
"hsa-miR-188-5p",31.9,30.53,30.22,30.52,31.97,32.03,33.36,31.31,32.49,33.06,35.29,32.87
"hsa-miR-190",40,40,40,40,40,40,40,40,29.62,11.02,37.17,40
"hsa-miR-190b",38.63,40,40,37.25,40,40,40,40,40,40,40,40
"hsa-miR-191",30.91,31.03,31.26,29.9,32.2,31.36,31.04,30.47,32.27,30.57,31.05,33.1
"hsa-miR-192",32.37,33.83,32.17,32.43,33.07,33.01,33.04,32.45,30.13,31.2,31.53,32.31
"hsa-miR-193a-3p",34.71,33.58,34.13,40,34.24,40,32.58,36.03,36.91,39.55,40.78,40.8
"hsa-miR-193a-5p",36.25,34.69,33.38,34.06,33.33,33.87,33.61,32.61,32.28,31.95,32.99,33.58
"hsa-miR-193b",31.45,31.59,31.71,31.56,33.64,31.55,31.77,31.41,31.56,33.14,32.8,34.64
"hsa-miR-194",35.53,33.34,33.48,31.26,32.8,32.36,32.47,32.25,32.07,31.37,32.05,32.26
"hsa-miR-195",31.52,30.41,27.54,25.64,26.16,26.47,26.41,25.56,25.18,25.31,25.68,27.56
"hsa-miR-196a",36.68,34.64,32.57,32.29,34.21,40,40,34.16,40,33.63,40.29,40
"hsa-miR-196b",33.31,34.11,36.06,33.81,40,35.17,33.54,34.81,40,35.16,36.77,40
"hsa-miR-197",30.64,28.91,36.48,29.25,31.53,33.15,31.34,30.88,32.08,32.28,32.8,31.38
"hsa-miR-198",36.42,40,35.42,32.88,35,34.12,37.32,34.3,40,35.1,40,40
"hsa-miR-199a-3p",39.04,40,34.04,40,40,40,40,40,40,35.65,40,40
"hsa-miR-199a-5p",40,33.99,34.17,38.09,36.19,38.32,35.24,34.2,39.92,38.38,40,40.59
"hsa-miR-199b-3p",35.88,36.07,34.62,33.01,34.51,40,32.13,40,34.4,40,29.37,40
"hsa-miR-199b-5p",32.26,31.97,29.24,35.62,40,40,40,40,40,31.84,40,40
"hsa-miR-200a",40,40,37.18,40,40,39.97,40,36.44,40,40,39.68,40
"hsa-miR-200b",40,40,36.81,34.81,40,28.15,40,28.38,40,40,40,34.87
"hsa-miR-200c",35.22,37.44,34.58,36.56,36.39,30,40,35.21,38.52,34.95,35.11,40
"hsa-miR-202",32.42,32.29,30.99,31.42,32.91,34.81,35.39,34.9,40,34.08,34.47,34.44
"hsa-miR-203",33.69,31.72,32.13,34.64,27.15,39.46,38.69,40,40,33.51,40,28.47
"hsa-miR-204",34.09,32.57,37.22,33.76,30.2,38.75,34.35,35.31,40,39.56,34.63,34.9
"hsa-miR-205",32.94,33.36,33.02,34.93,34.58,32.61,37.48,35.16,34.06,37.23,38.66,35.9
"hsa-miR-206",32.84,32.73,32.43,32.15,33.78,37.08,34.03,32.95,35.46,36.54,40,33.43
"hsa-miR-208a",35.63,37.19,34.44,36.88,34.97,39.77,38.06,37.33,36.75,35.3,39.35,40
"hsa-miR-208b",39.11,35.91,40,40,40,35.93,40,40,40,40,40,40
"hsa-miR-210",32.51,31.63,31.07,31.55,34.08,32.67,37.4,33.17,37.39,35.11,34.56,35.25
"hsa-miR-211",32.78,32.73,32.24,33.15,35.06,38.4,35.33,33.39,34.54,38.85,38.01,34.3
"hsa-miR-212",31.69,32.3,30.06,31.99,33.3,32.17,32.07,31.58,33.66,33.68,34.6,34.14
"hsa-miR-214",31.24,29.88,29.91,30.06,31.53,33.02,33.2,31.7,32.42,28.43,32.78,32.08
"hsa-miR-215",37.29,34.85,37.8,33.59,35.15,40,31.64,40.03,35.24,33.96,36.95,40
"hsa-miR-216a",33.24,33.17,36.64,34,36.33,37.49,34.16,37.04,35.29,34.51,40,38.45
"hsa-miR-216b",32.91,33.37,33.39,33.8,33.93,35.61,39.52,33.13,40.22,34.17,38.69,35.02
"hsa-miR-217",38.54,40,36.24,40,37.91,40,40,40,40,40,40,40
"hsa-miR-218",37.89,35.03,40,35.15,40,39,38.42,37.3,40,40,35.33,40
"hsa-miR-219-1-3p",37.24,37.21,35.43,34.11,40.68,34.25,29.24,33.94,35.2,40.83,40.32,40
"hsa-miR-219-2-3p",33.43,32.36,31.56,32.24,35.47,35.3,36.36,32.8,40,33.94,35.49,35.66
"hsa-miR-219-5p",40,40,35.37,34.21,40,37.53,35.51,39.63,40,38.12,40,40
"hsa-miR-220a",32.78,31.49,29.73,40,40,40,40,35.2,37.54,40,40,40
"hsa-miR-220b",40,33.72,33.59,35.66,34.6,40,34.3,34.26,40,40,40,40
"hsa-miR-220c",35.89,31.34,33.49,33.19,40.75,37.41,40,36.16,35.53,35.76,39.02,34.72
"hsa-miR-221",33.07,31.97,30.81,30.59,33.05,33.81,32.06,31.9,34.14,32.66,34.59,35.44
"hsa-miR-222",27.34,28.01,27.87,29.48,31.8,32.63,31.27,30.07,31.49,31.26,33.03,32.04
"hsa-miR-223",27.53,28.3,28.99,26.75,27.18,27.37,28.27,27.55,28.22,26.16,27.85,28.98
