"","WT1","WT2","WT3","SAL1","SAL2","SAL3","SAL4","SQ1","SQ2","SQ3","SQ4","EPI1","EPI2","EPI3","EPI4","BAT1","BAT2","BAT3"
"mmu-let-7a",28.38,29.12,28.62,40,40,40,40,28.3,28.59,29.03,29.74,31.42,31.29,32.88,31.47,28.45,28.42,28.28
"mmu-let-7b",24.09,27.07,26.64,32.34,33.07,33.16,34.02,26.86,26.77,26.88,27.31,29.81,29.42,31.54,30.43,26.95,27.55,27.95
"mmu-let-7c",26.6,27.05,26.61,33.94,34.13,35.71,34,27.17,26.93,27.27,27.52,29.21,29.63,31,28.81,27.03,27.19,27.05
"mmu-let-7d",29.05,30.25,30.34,40,37.62,34.88,40,29.07,29.33,29.3,30.13,24.89,28.26,36.83,31.44,29.2,29.42,29.73
"mmu-let-7e",30.62,31.13,30.81,40,40,40,40,31.21,32.56,32.34,32.29,32.84,34.35,37.08,33.22,29.72,30.27,30.06
"mmu-let-7f",40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40.3,37.3,35.19
"mmu-let-7g",27.97,27.96,28.11,40,35.13,40,40,29.34,28.59,27.74,28.3,31.86,32.26,40,32.24,28.8,29.28,29.36
"mmu-let-7i",33.93,32.67,31.12,40,40,33.92,33.73,40,40.63,39.14,39.9,40,40,40,40,32.06,32.37,31.37
"mmu-miR-1",24.23,27.38,27.52,40,40,40,40,31.06,31.7,32.16,31.18,32.93,34.45,37.02,38.41,28.53,28.27,29.17
"mmu-miR-1-2-as",40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
"mmu-miR-7a",33.52,34.92,31.44,40,40,40,40,29.23,29.73,29.81,30.56,35.45,40,40,35.75,32.79,32.82,31.13
"mmu-miR-7b",32.19,34.14,31.67,40,40,2.81,40,33.84,35.51,32.62,32.49,37.64,36.78,38.59,32.48,32.12,31.99,27.27
"mmu-miR-9",40,40,40,40,40,40,40,38.42,38.45,35.89,37.44,37.27,40,40,35.15,40,40,40
"mmu-miR-10a",28.54,29.51,28.6,34.85,33.98,33.78,34.28,30.59,30.64,30.3,30.06,31.04,31.04,31.85,31.86,28.3,27.81,27.85
"mmu-miR-10b",28.56,29.12,27.87,37.76,33.74,35.08,29.61,28.93,29.81,29.1,29.56,29.59,29.17,30.42,31.54,27.32,27.07,27.61
"mmu-miR-15a",26.5,27.03,27.23,40,38.76,40,40,28.28,29.08,28.91,28.71,32.09,32.06,32.54,33.13,28.08,28.42,28.84
"mmu-miR-15b",23.31,24.03,25.08,29.29,29.5,30.72,29.51,25.07,25.45,25.26,25.58,27.21,27.54,28.32,27.27,24.35,24.66,25.12
"mmu-miR-16",21.51,21.96,21.7,28.8,29.47,31.51,30.17,23.76,23.96,24.06,24.18,25.51,25.53,26.6,25.61,22.48,22.47,22.77
"mmu-miR-17",29.28,28.18,27.4,33.21,34.03,33.74,35.57,40,40,40,40,37.7,36.19,35.16,35.56,27.74,27.52,27.24
"mmu-miR-18a",33.96,32.1,30.66,40,40,40,40,35.26,36.17,35.95,33.58,40,33.71,34.38,34.52,32.35,33.57,33.68
"mmu-miR-18b",34.53,34.24,35.28,40,40,40,40,38.63,35.12,37.83,37.51,40,40,40,40,35.17,37.48,34.54
"mmu-miR-19a",23.39,24,23.82,40,40,40,40,24.66,25.07,24.12,24.42,27.77,27.75,28.56,28.5,25.07,25.23,25.17
"mmu-miR-19b",23.48,24.08,23.49,40,40,40,40,26.04,25.67,24.14,24.23,27.23,27.89,28.53,28.16,24.89,25.11,25.27
"mmu-miR-20a",24.85,24.16,24.56,34.03,40,34,38,26.82,26.64,26.3,26.4,28.04,28.06,28.95,28.4,25.38,26.03,26.37
"mmu-miR-20b",25.58,25.22,25.44,33.04,33.69,34.39,38.04,27.62,27.92,27.13,27.46,29.2,29.48,30.35,29.44,26.21,26.21,26.51
"mmu-miR-21",24.38,25.07,24.26,32.01,32.47,32.46,31.66,28.85,30.01,29.74,29.35,31.32,30.64,29.96,28.39,24.51,24.46,24.63
"mmu-miR-22",25.29,25.07,24.79,40,40,40,40,26.57,26.95,26.57,27.03,28.36,28.46,30.09,28.42,26.35,27.12,27.24
"mmu-miR-23a",22.52,22.96,23.83,26.1,25.44,27.23,26.18,24.16,24.38,23.89,24.05,25.01,25.09,25.66,25.59,23.32,23.14,23.48
"mmu-miR-23b",24.37,24.02,25.01,27.07,26.48,27.89,26.52,26.73,26.76,25.88,25.49,26.92,28.18,31.36,32.36,23.22,23.43,23.54
"mmu-miR-24",24.15,24.23,24.82,32.64,32.73,33.11,32.42,25.12,25.48,25.02,25.37,27.51,27.54,28.62,27.98,25.05,25.41,25.66
"mmu-miR-25",23.67,24.24,22.73,31.8,31.02,32.19,31.36,25.23,25.17,24.59,25.01,25.03,25.02,26.01,25.95,23.19,23.7,23.9
"mmu-miR-26a",29.15,29.2,28.93,35.2,40,40,34.57,31.23,31.84,31.63,31.87,36.08,35.83,38.68,40.39,29.19,29.5,29.22
"mmu-miR-26b",28.99,29.27,29.11,37.7,35.66,36.07,33.28,29.77,28.15,25.67,29.26,34.77,32.89,35.19,33.15,28.26,28.02,28.49
"mmu-miR-27a",24.69,25.27,25.99,34.44,33.89,35.26,33.37,25.29,25.55,25.21,25.2,28.94,28.79,29.64,29.46,26.08,23.95,26.46
"mmu-miR-27b",25.15,26.17,26.18,31.74,31.9,32.3,32.24,26.31,26.31,25.79,25.59,29.69,29.27,30.13,30.06,26.18,26.72,27.06
"mmu-miR-28",40,35.07,33.15,40,40,40.17,40,33.5,32.03,33.8,32.19,39.39,40,40,40,33.51,33.19,29.18
"mmu-miR-29a",25.28,25.94,25.34,40,40,34.03,40,26.07,25.81,25.71,26.16,29.15,29.85,30.26,29.9,27.1,27.18,27.61
"mmu-miR-29b",40,40,35.67,40,40,40,40,30.37,31.19,31.07,31.91,39.34,37.19,40,36.16,33.34,32.48,33.02
"mmu-miR-29c",28.66,28.39,28,34.16,40,40,40,33.3,33,32.89,32.33,34.43,31.07,33.16,34.47,27.51,27.56,27.87
"mmu-miR-30a",40,40,40,30.24,30.91,31.12,30.78,26.45,26.79,25.82,26.8,30.75,30.67,30.45,30.25,25.55,24.73,25.44
"mmu-miR-30b",25.44,26.27,26.81,33.13,32.6,40,34.98,24.87,25.03,25.18,24.97,28.42,28.51,30.22,29.09,26.66,26.72,27.23
