"","WTvsKO.p","WTvsKO.FDR","WTvsKO.logFC","WTvsKO.FC"
"mmu-miR-148a",5.39942431193787e-06,0.0027498513586366,4.5775,23.8761778459846
"mmu-miR-148b",1.2359897728943e-05,0.0027498513586366,4.45,21.8566441080703
"mmu-miR-324-5p",1.61645800766876e-05,0.0027498513586366,8.815,450.380326872287
"mmu-miR-188-5p",2.13365388606487e-05,0.0027498513586366,4.2325,18.7979052681286
"mmu-miR-433",2.17282540165577e-05,0.0027498513586366,4.9625,31.1789405184547
"mmu-miR-323-5p",2.32709564905777e-05,0.0027498513586366,4.45,21.8566441080703
"mmu-miR-323-3p",3.50317782428772e-05,0.00337263714295794,5.455,43.8650497593505
"mmu-miR-350",3.81550880271743e-05,0.00337263714295794,3.2125,9.26955447569822
"mmu-miR-670",4.86510892095244e-05,0.00337263714295794,3.355,10.2318846502194
"mmu-miR-98",5.38363115257992e-05,0.00337263714295794,8.67,407.314679682518
"mmu-miR-140",6.25083532867649e-05,0.00337263714295794,4.0075,16.0833942406636
"mmu-miR-409-5p",6.26991747412594e-05,0.00337263714295794,6,64
"mmu-let-7a",6.33695750487901e-05,0.00337263714295794,4.88,29.446004819996
"mmu-miR-500",7.15647327984046e-05,0.00337263714295794,3.56,11.7941537383288
"mmu-miR-99a",7.20984864244135e-05,0.00337263714295794,3.16,8.93829710457776
"mmu-miR-291a-5p",8.24727091243541e-05,0.00337263714295794,4.31,19.8353231990238
"mmu-miR-100",8.4194324129417e-05,0.00337263714295794,3.7725,13.6658188215248
"mmu-miR-1961",8.56240741512594e-05,0.00337263714295794,4.675,25.5455483634128
"mmu-miR-149",0.000107910976798449,0.00354795441259446,3.33,10.0561069961746
"mmu-miR-201",0.000109104292327456,0.00354795441259446,3.0125,8.0696158703232
"mmu-miR-676",0.000115151273811517,0.00354795441259446,3.4725,11.1000940859537
"mmu-miR-696",0.000121313526912858,0.00354795441259446,3.035,8.19645458426242
"mmu-miR-29c",0.000125008824991713,0.00354795441259446,3.15,8.87655577654277
"mmu-miR-291b-3p",0.000128401343149244,0.00354795441259446,4.8975,29.8053621961505
"mmu-miR-652",0.000132824917181159,0.00354795441259446,4.3125,19.8697249931757
"mmu-miR-344",0.000141663466638341,0.00354795441259446,3.365,10.3030530360786
"mmu-miR-434-3p",0.000142107598403366,0.00354795441259446,4.08,16.9122886489821
"mmu-miR-20a",0.000146762259163028,0.00354795441259446,3.02,8.11167583832024
"mmu-miR-30b",0.000148640094202148,0.00354795441259446,2.8925,7.42556086915791
"mmu-miR-31",0.000150893022576233,0.00354795441259446,3.0425,8.23917565339919
"mmu-let-7i",0.000155129177419504,0.00354795441259446,3.405,10.5927112831632
"mmu-miR-451",0.000178249392112452,0.00385206795814494,2.645,6.25495714502875
"mmu-miR-686",0.000183019613939654,0.00385206795814494,3.04,8.22491061324853
"mmu-miR-375",0.000184725402788333,0.00385206795814494,2.6975,6.48676871227595
"mmu-miR-27b",0.000213585362654737,0.00399542323727458,2.9075,7.50316872121612
"mmu-miR-483",0.000217465661217902,0.00399542323727458,4.75,26.9086852881189
"mmu-miR-127",0.000220494177791278,0.00399542323727458,6.8225,113.181943051968
"mmu-miR-217",0.000221513746498203,0.00399542323727458,3.3075,9.90049048350841
"mmu-miR-337-5p",0.000232716428248376,0.00399542323727458,3.4375,10.8340443754952
"mmu-miR-540-3p",0.00023435367599523,0.00399542323727458,2.63,6.19025997416956
"mmu-miR-382",0.000238532983457841,0.00399542323727458,3.835,14.2708563107215
"mmu-miR-345-5p",0.000256905403897303,0.00399542323727458,2.715,6.565932870484
"mmu-miR-129-5p",0.000257401095821074,0.00399542323727458,2.7525,6.73883872773435
"mmu-miR-702",0.000261327403103676,0.00399542323727458,3.55,11.712685567565
"mmu-miR-92b",0.000264984378179089,0.00399542323727458,2.745,6.70389707734359
"mmu-miR-325",0.000272476639472728,0.00399542323727458,3.6425,12.4882550322463
"mmu-miR-380-3p",0.000275880044759636,0.00399542323727458,4.6125,24.4625009200482
"mmu-miR-668",0.000277440539354355,0.00399542323727458,3.075,8.42688828763869
"mmu-miR-297b-3p",0.000280745018029559,0.00399542323727458,2.7725,6.83290941076242
"mmu-miR-207",0.000281764685280295,0.00399542323727458,3.02,8.11167583832024
"mmu-miR-20b",0.000335832932003788,0.00466873625079776,2.49,5.61777950295199
"mmu-miR-212",0.000349253457935435,0.00474657444050655,3.4225,10.7219841321065
"mmu-miR-134",0.000354821502604862,0.00474657444050655,4.0475,16.5355599983868
"mmu-miR-151-3p",0.00036373511477533,0.00477385945554877,2.8675,7.29799417795998
"mmu-miR-205",0.000370327602334531,0.00477385945554877,2.5275,5.76571689432678
"mmu-miR-665",0.00037826999741481,0.00478916836012679,3.1975,9.17367628887812
"mmu-miR-383",0.000399621187926211,0.00489833248469327,3.36,10.2674071805032
"mmu-miR-685",0.000403604707410369,0.00489833248469327,2.8375,7.14780362956522
"mmu-miR-423-5p",0.000407618641180399,0.00489833248469327,3.875,14.6720646912747
"mmu-miR-546",0.000425141302787358,0.00495974633924409,2.485,5.59834346238079
"mmu-miR-466e-5p",0.000430626192044514,0.00495974633924409,4.9475,30.8564460240625
"mmu-miR-449b",0.000456681307342863,0.00495974633924409,2.8475,7.19752053550625
"mmu-miR-299",0.000458083562923184,0.00495974633924409,4.015,16.1672231437882
"mmu-miR-320",0.000466537562578953,0.00495974633924409,9.7425,856.6131415646
"mmu-miR-101a",0.000471732258172888,0.00495974633924409,5.0575,33.301147827343
"mmu-miR-505",0.000477323930510756,0.00495974633924409,2.865,7.28535866873584
"mmu-miR-380-5p",0.000478115910700996,0.00495974633924409,5.355,40.9275386008777
"mmu-miR-1191",0.000488854427234141,0.00495974633924409,2.8775,7.34875574177842
"mmu-miR-466g",0.000498086816474335,0.00495974633924409,3.1425,8.83052981848838
"mmu-miR-124",0.000504606280208445,0.00495974633924409,2.575,5.95870985249082
"mmu-miR-346",0.000511765908998184,0.00495974633924409,2.65,6.276672783174
"mmu-miR-27a",0.000514452126526827,0.00495974633924409,2.49,5.61777950295199
"mmu-miR-322",0.000521688733165383,0.00495974633924409,5.8575,57.9806659990018
"mmu-miR-297c",0.0005228310090632,0.00495974633924409,4.1075,17.2377551346523
"mmu-miR-34a",0.000530869027347738,0.00495974633924409,3.21,9.2535054712423
"mmu-miR-410",0.000536431141432105,0.00495974633924409,5.0925,34.1189182213282
"mmu-miR-343",0.000538646640510289,0.00495974633924409,3.28,9.71355907516038
"mmu-miR-151-5p",0.000560818073102956,0.00509769248499994,3.43,10.7778686149255
"mmu-miR-186",0.000569859281560625,0.00511430671679093,3.545,11.6721627539214
"mmu-miR-22",0.000594228760072023,0.0052663523861383,2.5225,5.74576902926349
"mmu-miR-10b",0.00060912236586656,0.00527536729145752,2.53,5.77571678208999
"mmu-miR-146b",0.000610127105641068,0.00527536729145752,4.5525,23.4659994015635
"mmu-miR-130b",0.000639882103215515,0.00546598085758795,3.4875,11.2161061252911
"mmu-miR-429",0.000688238542874348,0.00565756644621961,2.8025,6.97648336224722
