"","HIVvsCon.p","HIVvsCon.FDR","HIVvsCon.logFC","HIVvsCon.FC"
"hsa-miR-548e",7.66199052125993e-06,0.00438265857816068,-9.0175,-518.248419020368
"hsa-miR-452",0.000144941308378254,0.0414532141961806,-5.6975,-51.8941496982078
"hsa-miR-516b",0.000260818227389019,0.049729342022173,-3.425,-10.7405800222421
"hsa-miR-375",0.000410571686097341,0.0587117511119198,-6.59,-96.3357918343083
"hsa-miR-365",0.00070278658147103,0.0803987849202858,-5.7725,-54.6632752860992
"hsa-miR-34c-5p",0.000940302636270201,0.0813415643404485,-6.6925,-103.429219158961
"hsa-miR-106b",0.00105903333353463,0.0813415643404485,-3.465,-11.042538827173
"hsa-miR-335",0.00143228900677604,0.0813415643404485,-8.105,-275.326563957089
"hsa-miR-362-5p",0.00153035341555087,0.0813415643404485,-7.975,-251.602073227584
"hsa-miR-199b-5p",0.00153364931900753,0.0813415643404485,-7.11,-138.141214272567
"hsa-miR-767-3p",0.00170288814519523,0.0813415643404485,-3.34,-10.1260527517623
"hsa-miR-324-5p",0.00190965819443944,0.0813415643404485,-9.6375,-796.483132934153
"hsa-miR-525-3p",0.001911842184629,0.0813415643404485,-5.5425,-46.6078158072454
"hsa-miR-9",0.0019908774488921,0.0813415643404485,-5.6925,-51.7146095794805
"hsa-miR-409-5p",0.00266296534377765,0.0985911681202215,-3.275,-9.67995271375437
"hsa-miR-374b",0.00287203414515182,0.0985911681202215,6.4575,87.882255991993
"hsa-miR-101",0.00334259287918759,0.0985911681202215,6.385,83.5750263736908
"hsa-miR-410",0.00335008642105057,0.0985911681202215,-3.99,-15.8894799269926
"hsa-miR-382",0.00338243569773738,0.0985911681202215,-7.1375,-140.799656099612
"hsa-miR-346",0.00356462651361462,0.0985911681202215,-7.05,-132.513910251696
"hsa-miR-770-5p",0.00361960582259554,0.0985911681202215,-2.6825,-6.4196738347298
"hsa-miR-224",0.00402389380837687,0.100983295352828,-8.7175,-420.948520257125
"hsa-miR-548a-5p",0.00406051712083051,0.100983295352828,-4.95,-30.9099625255951
"hsa-miR-100",0.00435057076062578,0.103688603128248,-4.395,-21.0390841632811
"hsa-miR-541",0.00492277122076829,0.10588596048413,-4.27,-19.2929252430522
"hsa-miR-369-5p",0.00547088931191978,0.10588596048413,-4.7325,-26.5842525743922
"hsa-miR-220c",0.00566372484431922,0.10588596048413,-4.485,-22.3933738495231
"hsa-miR-645",0.00573034186919989,0.10588596048413,-4.5825,-23.959069930834
"hsa-miR-630",0.00589325099857757,0.10588596048413,-3.28,-9.71355907516038
"hsa-miR-342-3p",0.00596700608401018,0.10588596048413,-4.28,-19.4271181503207
"hsa-miR-302e",0.00605998443074097,0.10588596048413,-3.4225,-10.7219841321065
"hsa-miR-299-5p",0.00642975580160574,0.10588596048413,-3.0625,-8.35419025941932
"hsa-miR-487a",0.00667292130005691,0.10588596048413,-3.55000000000001,-11.7126855675651
"hsa-miR-545",0.00731785436244788,0.10588596048413,-4.34,-20.2521055035245
"hsa-miR-140-5p",0.00735330200695294,0.10588596048413,-3.845,-14.370117966143
"hsa-miR-520e",0.0075262702025011,0.10588596048413,-4.7125,-26.2182593133774
"hsa-miR-516a-5p",0.0076024125383508,0.10588596048413,-3.815,-14.074385214759
"hsa-miR-421",0.00769436865672632,0.10588596048413,-4.97,-31.3414495227816
"hsa-miR-448",0.00769660658335219,0.10588596048413,-3.4475,-10.9094011134656
"hsa-miR-557",0.0078117754581218,0.10588596048413,5.305,39.5333963880616
"hsa-miR-554",0.00789532544636125,0.10588596048413,-4.3775,-20.7854200731804
"hsa-miR-339-3p",0.00799094901234963,0.10588596048413,-5.475,-44.4773830349548
"hsa-miR-222",0.00826510391937428,0.10588596048413,-2.65,-6.27667278317401
"hsa-miR-19a",0.00832951779693561,0.10588596048413,3.735,13.3151797553844
"hsa-miR-383",0.00834730907902762,0.10588596048413,-5.835,-57.083425242886
"hsa-miR-485-3p",0.0085862460601929,0.10588596048413,-2.4675,-5.53084533891519
"hsa-miR-19b",0.00870041982998968,0.10588596048413,3.055,8.31087282638131
"hsa-miR-449b",0.00909446390044725,0.108375694813663,-3.805,-13.9771663346671
"hsa-miR-501-3p",0.00977151388655104,0.114067468226677,-3.99,-15.8894799269926
"hsa-miR-486-3p",0.0104910112804288,0.120017169048106,-3.52,-11.4716419841266
"hsa-miR-610",0.0107564185760684,0.120640616186493,-2.5125,-5.70608010347612
"hsa-miR-29c",0.0115449269798181,0.123696582288658,-6.04,-65.7992849059882
"hsa-miR-920",0.0116616501520964,0.123696582288658,-3.2425,-9.46432751959127
"hsa-miR-16",0.0116776493769013,0.123696582288658,3.255,9.54668594425377
"hsa-miR-520c-3p",0.012600777096008,0.126989122244592,-4.1925,-18.2838755600327
"hsa-miR-632",0.0126417093965661,0.126989122244592,-4.865,-29.1414346749434
"hsa-miR-539",0.01272733751995,0.126989122244592,-5.0275,-32.6158201150425
"hsa-miR-195",0.0128765193884376,0.126989122244592,3.245,9.48074216753266
"hsa-miR-449a",0.013553567950205,0.129095291874859,-3.8475,-14.3950410710125
"hsa-miR-542-3p",0.0135672117208092,0.129095291874859,-4.415,-21.3327788334592
"hsa-miR-130b",0.0138585392607577,0.129095291874859,-3.0875,-8.50021893292122
"hsa-miR-657",0.0139928463221001,0.129095291874859,-4.1125,-17.2976002853482
"hsa-miR-21",0.0145598765740492,0.132194434926288,3.23,9.38267959385503
"hsa-miR-509-3-5p",0.0151644339577998,0.135532128497836,-2.9175,-7.55535738684055
"hsa-miR-323-3p",0.015907923288236,0.139989724936477,-1.9475,-3.8570557530078
"hsa-miR-646",0.0166077343971192,0.143933698108367,-2.2975,-4.916051400159
"hsa-miR-635",0.0171473465679512,0.144452905910567,-3.8625,-14.5454900724409
"hsa-miR-566",0.0171727230802772,0.144452905910567,-4.27,-19.2929252430522
"hsa-miR-181b",0.017533786529306,0.145352549199464,-2.6925,-6.46432619743507
"hsa-miR-10b",0.0178697179838784,0.146021124096835,-2.2075,-4.61874212675477
"hsa-miR-603",0.0182449043683571,0.146987116883102,-4.6375,-24.8900979041923
"hsa-miR-508-5p",0.019393202552989,0.150929384503329,-4.02,-16.2233516766404
"hsa-miR-518d-3p",0.0194424837172082,0.150929384503329,-3.7875,-13.8086463956358
"hsa-miR-885-3p",0.0195258294637174,0.150929384503329,-3.21,-9.25350547124232
"hsa-miR-583",0.0203527979482305,0.155224005685171,-2.585,-6.00015595714325
"hsa-miR-889",0.0210188563183973,0.158194550185832,-4.235,-18.8305077955003
"hsa-miR-483-5p",0.021761965104401,0.160349449546621,-2.01,-4.02782220022688
