"","CGLvsCon.p","CGLvsCon.FDR","CGLvsCon.logFC","CGLvsCon.FC"
"hsa-miR-423-3p",1.63010459925748e-07,9.32419830775276e-05,-6.9,-119.428222916712
"hsa-miR-548e",5.27436264673349e-06,0.00150846771696578,-9.3575,-655.976353689704
"hsa-miR-452",3.20587753125372e-05,0.00556519745422284,-6.7175,-105.237130064281
"hsa-miR-630",4.08416514654279e-05,0.00556519745422284,-6.1625,-71.6303953681984
"hsa-miR-516b",4.86468308935563e-05,0.00556519745422284,-4.135,-17.5694850205928
"hsa-miR-365",9.45794232423319e-05,0.00656584801202862,-7.3175,-159.50966145044
"hsa-miR-770-5p",0.00010098298574166,0.00656584801202862,-4.2325,-18.7979052681286
"hsa-miR-767-3p",0.000102653806934345,0.00656584801202862,-4.7175,-26.3092825160703
"hsa-miR-409-5p",0.000103308797392059,0.00656584801202862,-4.925,-30.3789478704167
"hsa-miR-342-3p",0.000174331357177065,0.00997175363052811,-6.865,-116.565738699773
"hsa-miR-375",0.00020490642759235,0.0106551342348022,-7.1575,-142.765146053377
"hsa-miR-487b",0.000241276665107852,0.010682458216616,-5.025,-32.5593501472861
"hsa-miR-891a",0.000257244696768429,0.010682458216616,-4.995,-31.8892884104918
"hsa-miR-920",0.000271005090820765,0.010682458216616,-5.54,-46.52712055425
"hsa-miR-501-5p",0.000280134393792378,0.010682458216616,-4.0075,-16.0833942406636
"hsa-miR-302e",0.000397799959795805,0.0142213485627,-4.9925,-31.8340763360455
"hsa-miR-548c-5p",0.000502392135370279,0.0165734786847741,-6.42,-85.6273635063112
"hsa-miR-19b",0.000556268814091869,0.0165734786847741,4.5425,23.3039079036226
"hsa-miR-658",0.000577078066074196,0.0165734786847741,-3.9325,-15.268643600515
"hsa-miR-500",0.000579492261705388,0.0165734786847741,-5,-32
"hsa-miR-648",0.000674993077833623,0.0180285121461714,-4.8125,-28.1000345659728
"hsa-miR-509-3-5p",0.000693404313314284,0.0180285121461714,-4.665,-25.3690923715291
"hsa-miR-362-5p",0.000818887317540416,0.0195314187417178,-8.665,-405.905477944466
"hsa-miR-548a-5p",0.000875568818394098,0.0195314187417178,-6.14,-70.5219274161032
"hsa-miR-545",0.000878904095882635,0.0195314187417178,-5.9125,-60.2337426883243
"hsa-miR-412",0.000913625613987747,0.0195314187417178,-4.665,-25.3690923715291
"hsa-miR-484",0.000921937597948217,0.0195314187417178,-7.7825,-220.173953734464
"hsa-miR-224",0.00106122199964642,0.0202275156051636,-10.53,-1478.58349621504
"hsa-miR-34c-5p",0.00107300823073529,0.0202275156051636,-6.5775,-95.5047113839387
"hsa-miR-605",0.00107418572625535,0.0202275156051636,-2.8225,-7.07387144074799
"hsa-miR-637",0.0011211194750248,0.0202275156051636,-8.035,-262.286546696398
"hsa-miR-299-5p",0.00116012556168997,0.0202275156051636,-3.9375,-15.3216524911772
"hsa-miR-656",0.00120081343041453,0.0202275156051636,-5.2925,-39.192345235118
"hsa-miR-106b",0.00120794921500309,0.0202275156051636,-3.405,-10.5927112831632
"hsa-miR-525-3p",0.00123769763318309,0.0202275156051636,-5.8825,-58.994150188573
"hsa-miR-222",0.0012915769526198,0.0205217226916256,-3.5025,-11.3333306582494
"hsa-miR-596",0.00161302084042215,0.024349947054587,-2.7425,-6.69229016847344
"hsa-miR-760",0.00161765382530473,0.024349947054587,-4.5925,-24.1257184410504
"hsa-miR-323-5p",0.00182039592715676,0.0252004903174361,-6.715,-105.054925927744
"hsa-miR-346",0.00183847657653643,0.0252004903174361,-7.76,-216.766799964807
"hsa-miR-296-3p",0.00186681283217021,0.0252004903174361,-3.36,-10.2674071805032
"hsa-miR-512-3p",0.00186950826558809,0.0252004903174361,-3.1025,-8.58905851622444
"hsa-miR-421",0.00189444245393313,0.0252004903174361,-6.1575,-71.3825730266885
"hsa-miR-324-5p",0.00207585315310953,0.0265949856793396,-9.525,-736.733992965541
"hsa-miR-298",0.00211264265739724,0.0265949856793396,-3.555,-11.7533490662265
"hsa-miR-542-3p",0.00219641002257839,0.0265949856793396,-5.9225,-60.6527015006967
"hsa-miR-101",0.0022615702609884,0.0265949856793396,6.76,108.383399982404
"hsa-miR-511",0.00227292667209156,0.0265949856793396,-4.73,-26.5382254660621
"hsa-miR-646",0.00232129975901912,0.0265949856793396,-3.1775,-9.04737957652687
"hsa-miR-448",0.00235213439313913,0.0265949856793396,-4.1425,-17.6610596369767
"hsa-miR-433",0.00240422921823326,0.0265949856793396,-4.5125,-22.8243204139045
"hsa-miR-622",0.00245745807100756,0.0265949856793396,-5.785,-55.1389542215692
"hsa-miR-382",0.00246422070105769,0.0265949856793396,-7.4775,-178.218093136831
"hsa-miR-19a",0.00253400811045703,0.0268417155403967,4.5,22.6274169979695
"hsa-miR-323-3p",0.00261960298958674,0.0269136926939192,-2.625,-6.16884330163177
"hsa-miR-671-3p",0.00263490697702706,0.0269136926939192,-2.425,-5.37029001112105
"hsa-miR-582-3p",0.00278177158685777,0.0279153218891692,-5.2225,-37.3361173034297
"hsa-miR-449a",0.00341821888758592,0.0333413676993952,-4.8375,-28.5912145182608
"hsa-miR-92b",0.00344342755859128,0.0333413676993952,-2.46,-5.50216727255899
"hsa-miR-369-5p",0.00349734626217432,0.0333413676993952,-5.0725,-33.6491929918083
"hsa-miR-645",0.00362112150006234,0.0338091782580436,-4.9225,-30.3263507503483
"hsa-miR-744",0.00366463120978794,0.0338091782580436,-4.0525,-16.592967304165
"hsa-miR-485-3p",0.00406787767514726,0.0363291000540762,-2.785,-6.89236927769614
"hsa-miR-210",0.00408087216965415,0.0363291000540762,-3.61,-12.2100736716845
"hsa-miR-766",0.00412830682432684,0.0363291000540762,-2.6125,-6.11562523001205
"hsa-miR-765",0.00434082390053946,0.0376204738046753,-4.68,-25.6342360828679
"hsa-miR-874",0.00454436586583526,0.038796675750116,-2.4225,-5.36099206605325
"hsa-miR-449b",0.00474530620228585,0.0396052793847325,-4.235,-18.8305077955003
"hsa-miR-631",0.00477755992578067,0.0396052793847325,-2.8225,-7.07387144074799
"hsa-miR-519c-5p",0.00493656856690272,0.0403049624060714,-4.4025,-21.1487428162846
"hsa-miR-140-3p",0.0053418732395043,0.0403049624060714,2.5975,6.05236921702219
"hsa-miR-505",0.00539129436538905,0.0403049624060714,-4.5725,-23.7935725459625
"hsa-miR-147",0.00539703583841354,0.0403049624060714,-2.495,-5.6372830205681
"hsa-miR-370",0.00541856121015334,0.0403049624060714,-5.72,-52.7098251051246
"hsa-miR-21",0.00542141757684567,0.0403049624060714,3.8325,14.2461482152978
"hsa-miR-125a-3p",0.00545328462757981,0.0403049624060714,-2.475,-5.55967287936935
"hsa-miR-337-5p",0.00547575901877864,0.0403049624060714,4.3225,20.007929859979
"hsa-miR-583",0.00549613123719155,0.0403049624060714,-3.2675,-9.62976105059268
"hsa-miR-149",0.00559928382767199,0.0405416499927643,-2.765,-6.79747999310921
"hsa-miR-516a-3p",0.00586072299420488,0.041181813038698,-4.295,-19.6301596360609
"hsa-miR-491-3p",0.00589482558164274,0.041181813038698,-3.995,-15.9446442052459
"hsa-miR-383",0.00593708754500507,0.041181813038698,-6.175,-72.2537219075924
"hsa-miR-659",0.00597568266120968,0.041181813038698,-2.6925,-6.46432619743507
