"","BATvsEPI.p","BATvsEPI.FDR","BATvsEPI.logFC","BATvsEPI.FC","BATvsING.p","BATvsING.FDR","BATvsING.logFC","BATvsING.FC","EPIvsING.p","EPIvsING.FDR","EPIvsING.logFC","EPIvsING.FC"
"mmu-miR-290-5p",0.000195673098643591,0.0183890780973405,5.10351820995536,34.3804902008299,0.0997865793707793,0.516386948559264,-1.67602072206515,-3.19545356317581,1.6247148855204e-05,0.00619016371383273,-6.77953893202051,-109.861259915973
"mmu-miR-666-5p",0.000241326484217067,0.0183890780973405,3.12851820995536,8.74536264596994,0.855948084748939,0.948526436854697,0.108979277934845,1.07846494111561,0.000321266916595582,0.0244805390445833,-3.01953893202051,-8.10908385851038
"mmu-miR-574-5p",0.00776336305224093,0.0869953330265822,5.14351820995536,35.3470573426866,0.0227760608816584,0.425323676885898,-4.18852072206515,-18.2335139984193,0.000104829453155974,0.0195345000733573,-9.33203893202051,-644.501064860806
"mmu-miR-467h",0.000992078191707802,0.0352714744693513,2.92601820995536,7.6000989922052,0.340351752040811,0.695056523566702,-0.656020722065153,-1.57573040484691,0.000205086614943384,0.0195345000733573,-3.58203893202051,-11.9757070618641
"mmu-miR-193b",0.000149531909552629,0.0183890780973405,4.78851820995536,27.6367911101723,0.00654673306437991,0.425323676885898,2.83397927793484,7.13038154962527,0.0415251946397335,0.153602904444063,-1.95453893202051,-3.875920372259
"mmu-miR-328",0.000192781148649906,0.0183890780973405,2.56601820995536,5.92172793663975,0.0936370134837717,0.504355891417379,0.858979277934845,1.81375460592185,0.00385124918641534,0.0524044978580088,-1.70703893202051,-3.26490028877418
"mmu-miR-500",0.0790831257128658,0.253564505977414,-2.11898179004464,-4.34387259580475,0.00445955983183753,0.425323676885898,3.90147927793485,14.9438427903519,0.000188142780018908,0.0195345000733573,6.02046106797949,64.9141491730242
"mmu-miR-455",0.000220334360266928,0.0183890780973405,5.81101820995536,56.1423757535567,0.01394031565775,0.425323676885898,3.14647927793485,8.85492003046679,0.0309602168687145,0.128786829464091,-2.66453893202051,-6.34024650255335
"mmu-miR-1-2-as",0.000570446014485377,0.0271674914398661,-5.56398179004464,-47.3070006795538,0.62857598475011,0.815557170120836,-0.578520722065157,-1.49331727954299,0.0012889195190893,0.0386833608934558,4.98546106797948,31.6791356583186
"mmu-miR-204",0.000436207028111752,0.0271674914398661,3.03101820995536,8.17386383303746,0.0271303481746486,0.425323676885898,1.55897927793484,2.94645305012436,0.0349083677207575,0.140000927385354,-1.47203893202051,-2.77413679905487
