"","SALvsWT.p","SALvsWT.FDR","SALvsWT.logFC","SALvsWT.FC","BATvsSAL.p","BATvsSAL.FDR","BATvsSAL.logFC","BATvsSAL.FC","EPIvsSAL.p","EPIvsSAL.FDR","EPIvsSAL.logFC","EPIvsSAL.FC","INGvsSAL.p","INGvsSAL.FDR","INGvsSAL.logFC","INGvsSAL.FC"
"mmu-miR-22",6.39088741031213e-12,1.97236563313717e-09,-13.0741666666667,-8624.15066278613,5.05223953403588e-12,1.01536488485662e-09,13.2741666666667,9906.547679589,9.85127523069023e-12,3.69422821150884e-09,11.77,3492.39251668155,5.33382191243949e-11,6.66727739054936e-09,10.5425,1491.45010583185
"mmu-miR-19b",1.3878903636086e-11,1.97236563313717e-09,-14.4408333333333,-22239.4476002119,7.06076911375629e-12,1.01536488485662e-09,15.0875,34816.8967492453,3.24403775276011e-11,5.50218030303703e-09,12.65,6427.31292997018,4.96401245332335e-11,6.66727739054936e-09,12.3025,5051.51354294285
"mmu-miR-19a",1.57789250650973e-11,1.97236563313717e-09,-14.3875,-21432.3139614201,8.12291907885299e-12,1.01536488485662e-09,15.0208333333333,33244.6215352327,4.40174424242962e-11,5.50218030303703e-09,12.4575,5624.46438348757,3.06891932045977e-11,6.66727739054936e-09,12.755,6912.5390018971
"mmu-miR-17",0.000387854519817512,0.00167178672335134,-3.975,-15.725129576724,9.18569119942428e-07,7.82871409041842e-06,6.815,112.595081718072,0.106576518425616,0.159227866173728,-1.4125,-2.66198049444748,1.49454099508463e-08,5.60452873156735e-07,-8.54,-372.216964433999
"mmu-miR-323-5p",2.36612051955019e-09,1.67775375451115e-07,-10.1041666666667,-1100.67030007879,1.94603170090237e-10,1.53434027996344e-08,11.9541666666667,3967.91846851206,4.96184109141145e-10,3.72138081855858e-08,10.3975,1348.83671837563,1.58303183939027e-10,1.46635492022671e-08,11.22,2385.3743850874
"mmu-miR-92b",2.68440600721785e-09,1.67775375451115e-07,-8.54083333333333,-372.432027490211,9.6282527612522e-10,4.51324348183697e-08,9.1575,571.060584213508,2.28867140009669e-10,2.14562943759065e-08,9.335,645.8252333216,1.33009002918047e-08,5.54204178825196e-07,7.0775,135.064058109694
"mmu-let-7a",5.68094189810521e-09,2.10489489555429e-07,-9.4175,-683.832888642921,2.04578703995125e-10,1.53434027996344e-08,11.7941666666667,3551.38650871641,4.6720891697803e-09,2.19004179833452e-07,8.8375,457.459432292174,9.58818747852003e-09,4.49446288055627e-07,8.4075,339.554654922157
"mmu-miR-193b",6.17435836029257e-09,2.10489489555429e-07,-7.95416666666667,-247.994904282003,5.21651659647646e-09,1.56454617207299e-07,8.0475,264.568959974189,6.98364391722845e-10,4.36477744826778e-08,8.545,373.509208125485,7.10620659233314e-10,3.8068963887499e-08,8.535,370.929191566049
"mmu-miR-103",1.75176824018717e-08,5.47427575058492e-07,-8.5075,-363.925668226237,2.38030336157762e-09,9.9179306732401e-08,9.77083333333333,873.602596107614,0.00879196446615775,0.0198613655108985,2.295,4.90753990901522,0.0419518998616791,0.0836806513198386,1.7025,3.25464457094215
"mmu-miR-200b",0.000250319439873105,0.00115888629570882,-5.38083333333333,-41.6670002275344,9.94697509822667e-06,5.04077265218506e-05,7.26416666666667,153.720596192016,0.952241823291464,0.954787924423259,-0.0649999999999977,-1.04608493979253,1.3373017615152e-06,1.92880061756999e-05,-7.92,-242.190757561753
