"","KO.1","KO.2","KO.3","KO.4","WT.1","WT.2","WT.3","WT.4"
"mmu-let-7a",-0.617314965762949,-1.08695131415913,-1.16400102756788,-0.712709849030921,0.820946351200354,0.765910841622678,0.593466244945954,1.40065371875189
"mmu-let-7b",-0.162840489637401,-0.755909354620312,-1.47570233605256,-0.882633471069651,0.703952466876082,1.5454006000997,0.384607693423747,0.643124890980397
"mmu-let-7c",-0.0974425066851041,-0.557315056220556,-1.76307844829522,-0.876982560165929,0.906425619739847,0.850343601503815,0.575541712147266,0.962507637975876
"mmu-let-7d",-0.263020535076735,-1.32061095884077,-1.27654469118394,-0.599025825960099,0.783553321773096,1.10303376228515,0.530172282746297,1.042442644257
"mmu-let-7e",-0.012014367011859,-0.916625530257726,-1.60073772246241,-0.718741838297692,0.389406836678494,0.977404092788307,0.621213447260248,1.26009508130264
"mmu-let-7f",-0.712903899023533,-0.241831816136295,-1.79429578741248,-0.366265951238585,0.285531899297217,1.40543911521782,0.646983434594345,0.777343004701504
"mmu-let-7i",-0.549628567968343,-0.702890380190285,-1.4427749909169,-0.903716203101794,1.10454202601331,0.813873071799278,0.76630906110971,0.914285983255031
"mmu-miR-1",-1.72375634045488,-0.657246197956023,-0.49068167686646,-0.291798666610263,0.545996014093964,1.53543899011854,0.419208095055639,0.662839782619479
"mmu-miR-7a",-1.55800730055718,-0.11868534752562,0.200045621094421,-0.809828290006977,-0.142170787318678,0.850927809644824,-0.17907647842205,1.75679477309126
"mmu-miR-7b",-1.85825313635784,1.30679108205096,-0.499644289258846,-0.417946207139307,-0.41492035224599,0.804499169760458,0.459551711922405,0.619922021268166
"mmu-miR-9",-0.817228804949539,-0.266081615399457,-0.687403022522187,0.441836330289317,1.2085433095301,-0.976449104152896,1.6837546640755,-0.586971756870837
"mmu-miR-10a",0.165624461179476,-1.26440137437016,-1.06242032415128,-1.07857880816879,0.811963821879876,0.941231694019958,0.278733849302049,1.20784668030887
"mmu-miR-10b",-1.01265384275944,-1.18969122785725,-0.375319256407346,-1.00557234735553,0.856860943873376,1.00557234735553,0.559438136909063,1.1613652462416
"mmu-miR-15a",-0.720109356394511,-0.706409297295448,-0.747509474592637,-1.35031207495142,1.13624865152856,1.30749939026685,0.451245696575397,0.629346464863215
"mmu-miR-15b",-0.255557793516617,-1.02687767940314,-1.13839380748312,-1.08263574344313,1.11051477546312,1.2220309035431,0.590106177756556,0.580813167083223
"mmu-miR-16",-0.169081643255848,-0.573613425251149,-0.649463134375266,-1.85041686217382,0.968663993605932,1.04451370273005,0.53884897523593,0.690548393484164
"mmu-miR-17",-0.579622471111493,-0.903989895326507,-1.44214494004687,-0.660714327165246,1.02747067613563,1.05695862379154,0.629383382780842,0.8726589509421
"mmu-miR-18a",-1.27030308588842,0.0140106958002402,-1.72798581536292,0.0373618554673054,1.04613195308458,0.439001801740851,0.583778991676662,0.878003603481701
"mmu-miR-18b",-1.27003493836824,-1.2215897391587,-0.565377495320407,-0.323151499272717,0.425547033965605,0.48720456023229,1.16984145818487,1.29756061973729
"mmu-miR-19a",-1.52881984976307,-0.399643192074406,-0.642547473088827,-0.885451754103251,1.08404241628396,1.18908210537128,0.683578601638562,0.499759145735755
"mmu-miR-19b",-0.978674883205954,-0.469116886164839,-0.978674883205951,-1.14043932671107,1.07573354930902,1.30220377021619,0.549999107917397,0.638969551845207
"mmu-miR-20a",-0.93071203340281,-1.13619391090733,-1.09388881847993,-0.489530355231348,0.973017125830211,1.04554014142004,0.682925063470893,0.948842787300266
