"","GFP.1","GFP.2","GFP.3","CRE.1","CRE.2","CRE.3"
"mmu-let-7b",1.01345509524889,0.882701813595971,0.546679939240616,-0.392494169836276,-0.459979734560364,-1.59036294368884
"mmu-let-7c",1.55652939297622,0.854638206674833,-0.307729362996257,-0.50890836543933,-0.464201920451979,-1.13032795076349
"mmu-let-7d",1.31644303132147,0.885766124866453,0.32829094138407,-0.63799937665206,-0.648930262602695,-1.24357045831724
"mmu-let-7e",1.66597371133866,0.722759114299355,-0.220455482739959,-0.605554933602161,-0.599973782140389,-0.96274862715551
"mmu-let-7f",1.26547315091746,0.740828298581788,0.251903946830673,-0.25041559263965,-0.408925313983618,-1.59886448970665
"mmu-let-7g",1.31348903759369,0.739660159446544,0.173728008980327,-0.331662562598806,-0.318501349797267,-1.57671329362448
"mmu-let-7i",1.0207783309034,0.857245234009193,0.524490932502721,-0.379918194668713,-0.395560490893377,-1.62703581185322
"mmu-miR-100",1.90053171104635,0.318353445039045,-0.354791489953153,-0.659720392129106,-0.613693388027077,-0.59067988597606
"mmu-miR-101a",1.1732719450775,0.964107170204255,0.446817942023122,-0.619247684750166,-0.682222025572218,-1.28272734698249
"mmu-miR-101b",1.04308348675462,0.915245546104412,0.598429780145192,-0.55211168570671,-0.553964409484249,-1.45068271781327
"mmu-miR-103",1.4199480656156,0.848488798963465,0.2110919246207,-0.673570978561929,-0.643349575037058,-1.16260823560077
"mmu-miR-105",0.835026225743451,0.775838543075812,0.567881820189512,-0.188760717696795,-0.169564712507291,-1.82042115880469
"mmu-miR-106a",1.00274570279947,0.790818774339979,0.52637897865159,-0.308200518379137,-0.308200518379138,-1.70354241903276
"mmu-miR-106b",1.25499137369303,0.987331543243727,0.206925772536111,-0.56058072923419,-0.550906277531204,-1.33776168270748
"mmu-miR-107",1.26466391739014,0.888567056077312,0.450093154351618,-1.12767904432661,-0.892847833360547,-0.582797250131919
"mmu-miR-10a",0.79494845056942,-0.189666124098513,1.60144179564918,-0.585491078738888,-0.575595454872879,-1.04563758850832
"mmu-miR-10b",0.798604921887937,0.241220841508673,1.47777039798032,-0.896966818425454,-0.845443920239135,-0.775185422712338
"mmu-miR-122",1.16270487011529,0.73721693797653,0.368460730122939,-0.301682762995606,-0.296364163843872,-1.67033561137528
"mmu-miR-124",0.796559661400898,1.29111931204458,0.54720185435366,-0.778550486447485,-0.741146815390401,-1.11518352596125
"mmu-miR-125a-3p",1.06778268124826,0.787654508698564,0.491048208351825,-0.334505994279934,-0.349336309297271,-1.66264309472145
"mmu-miR-125a-5p",1.48773925909477,0.827793382624526,-0.0839237530771416,-0.488283654267001,-0.461580641924275,-1.28174459245088
"mmu-miR-125b-3p",0.693014021742956,0.447309050397726,0.624500135502459,0.104739619195243,0.107102166996638,-1.97666499383502
"mmu-miR-125b-5p",1.80796572226244,0.551365433030389,-0.438527856038124,-0.674460971567406,-0.664203010022656,-0.582139317664645
"mmu-miR-126-3p",1.09510345448662,1.25268224124771,0.00241897260378831,-0.520079109814564,-0.536666350526258,-1.29345920799729
"mmu-miR-126-5p",1.14269016415646,0.694508251185398,0.217142399695284,-0.145572264755719,-0.141403130681569,-1.76736541959986
"mmu-miR-127",0.993033477330186,0.823122806304108,0.541826250938714,-0.336045549362686,-0.345485031086358,-1.67645195412396
"mmu-miR-128",1.04640467440933,0.855644176242676,0.813047171797694,-0.96306270919089,-0.718592944550126,-1.03344036870869
"mmu-miR-129-3p",1.270358322157,0.922530635076267,0.17963940217544,-0.46233885978221,-0.473074282222973,-1.43711521740353
"mmu-miR-129-5p",1.33164975986338,0.826129862222071,0.347451729057297,-0.63674630174878,-0.565168263144702,-1.30331678624926
"mmu-miR-1-2-as",1.20414575635457,0.684604216534174,0.784337637124697,-0.957518150398164,-0.660637270500792,-1.05493218911449
"mmu-miR-130a",1.56716068176236,0.690559737034118,0.0977504650596245,-0.955431964937616,-0.986964373021366,-0.413074545897123
"mmu-miR-130b",1.1648920248348,0.881095601849549,0.493471219235541,-0.57249583295298,-0.55865210500248,-1.40831090796443
"mmu-miR-132",1.09014890399663,0.968529857911812,0.506377482789509,-0.601461464274002,-0.577137655057039,-1.38645712536691
"mmu-miR-133a",0.766205341066049,0.837844099446218,0.489531515597815,-0.083578551443529,-0.155217309823698,-1.85478509484285
"mmu-miR-133b",1.35629320261555,0.843123842491457,0.219270894889622,-0.459923846451083,-0.610856011193463,-1.34790808235208
"mmu-miR-134",0.814502591993335,0.806254464479477,0.319614941161941,-0.0206203187846412,-0.0268064144200339,-1.89294526443008
"mmu-miR-135a",0.927680901920495,0.860220633601024,0.508200688006688,-0.258393270169129,-0.312361484824706,-1.72534746853437
"mmu-miR-135b",0.573571177079615,0.459637793513676,-0.0514652355671684,-1.09496725327389,-1.2184838186351,1.33170733688287
"mmu-miR-136",1.10273241748695,0.894207455048191,0.721576133684953,-0.915857587760411,-0.909020703746027,-0.893637714713659
"mmu-miR-137",0.262248272085619,0.983972855593974,0.90811591738739,-0.160383240779634,-0.247076884444302,-1.74687691984305
"mmu-miR-138",0.990086751304394,0.88536888158173,0.443423973769133,-0.312674543211456,-0.321548938950666,-1.68465612449313
"mmu-miR-139-3p",0.990222187903278,0.750265276456603,0.563098885528197,-0.300745995679832,-0.279149873649632,-1.72369048055861
"mmu-miR-139-5p",0.882561641560532,0.954241774885245,0.447104831612899,-0.282240524966058,-0.284032528299177,-1.71763519479344
"mmu-miR-140",1.09922472831545,1.01248689615558,0.487150214583474,-0.648624417849665,-0.653534106462489,-1.29670331474235
"mmu-miR-141",1.10742998429507,0.885635940152527,0.504889497707823,-0.509818254244324,-0.495031984634821,-1.49310518327628
"mmu-miR-142-3p",1.11622360956484,0.893743424370748,0.533646629778257,-0.523707652432816,-0.587928736818739,-1.43197727446229
"mmu-miR-142-5p",1.31448604142804,0.901130285126959,0.388303892282835,-1.04849419111665,-0.765555491616444,-0.789870536104742
"mmu-miR-143",1.37271488395299,0.77028389635553,0.25062968567986,-0.935837450199105,-1.23935229891233,-0.218438716876942
"mmu-miR-144",1.74243501510579,0.448441744886065,0.0591743478943462,-0.811330215708016,-0.537559738702851,-0.901161153475337
"mmu-miR-145",0.74088545221423,-0.548338950508835,0.908317192827614,0.305562926619429,0.355792448803443,-1.76221906995588
"mmu-miR-146a",1.12775766705219,1.01479671846404,0.346290121081707,-0.538879279330356,-0.53517564167173,-1.41478958559585
"mmu-miR-146b",1.12586632544377,0.967727857470665,0.597743517307162,-0.977673673066458,-0.941868736921603,-0.771795290233541
"mmu-miR-147",1.23432944416004,0.770693343223487,0.43720070921649,-0.479904034302751,-0.463636100936557,-1.49868336136071
"mmu-miR-148a",1.19200080233233,1.26528636633227,-0.0238733276666461,-0.796702911665998,-0.776715939666016,-0.859994989665945
"mmu-miR-148b",1.17881515701878,0.958115736833984,0.169903521888294,-0.397609272872604,-0.370284582754487,-1.53894056011396
"mmu-miR-149",1.04033751054938,0.790973161159609,0.794931325435638,-0.558760856965963,-0.709171099455031,-1.35831004072363
"mmu-miR-150",1.28860971863546,0.708312798948759,0.336472054295146,-0.386551615864656,-0.39030758298237,-1.55653537303234
"mmu-miR-151-3p",1.04091426210203,0.67907030287862,0.34370273091546,-0.115221314928863,-0.129930418962335,-1.81853556200491
"mmu-miR-152",1.04514762729422,0.535425774883117,0.375974323616053,-0.0553287822702651,-0.0370310747478151,-1.86418786877531
